,feature_names,feature_importance
128,blue_cumsum_sig_gnd_abs,0.004148472836325632
129,blue_cumsum_sig_body_seen,0.004093635903110234
130,blue_cumsum_tot_stks_att,0.004057538851442284
131,blue_cumsum_TDs_seen,0.0039960589565048955
132,blue_cumsum_sig_head_seen,0.003933994059176575
133,blue_cumsum_sig_stks_abs,0.003893013099124371
134,blue_cumsum_sig_body_lnd,0.0038637665087247297
135,blue_cumsum_sig_clch_abs,0.0037542258686540427
136,blue_cumsum_sig_head_abs,0.0037507976182047324
137,blue_cumsum_sig_clch_lnd,0.003734952825572647
138,blue_cumsum_sig_clch_att,0.003616783358708865
139,blue_cumsum_sig_head_lnd,0.0035339549045464553
140,blue_cumsum_TDs_lnd,0.003513958325661595
141,blue_cumsum_sig_clch_seen,0.0034800012350453737
142,blue_cumsum_sig_body_abs,0.0033888197572427515
143,blue_cumsum_TDs_abs,0.0032946609154500543
144,red_cumsum_KedD,0.0032738845838070733
145,red_wins,0.0032144358220364613
146,red_cumsum_sub_esc,0.003110559674880543
147,blue_stance,0.0028089410284086345
148,blue_cumsum_sub_att,0.002677908630079624
149,red_cumsum_revs,0.0026757936771869377
150,red_cumsum_KDs,0.00264987825533927
151,blue_cumsum_sub_esc,0.00260648803290699
152,red_cumsum_KOWin,0.0025901365325312798
153,red_cumsum_reversed,0.0025670221787642876
154,red_stance,0.0025289065305931823
155,blue_losses,0.0020826556754191903
156,red_cumsum_decWin,0.001993994427373845
157,blue_wins,0.0019552524041665676
158,red_cumsum_Decloss,0.0019455193962997525
159,blue_cumsum_reversed,0.0018499825504375489
160,blue_cumsum_KDs,0.0017918485342530938
161,red_cumsum_KOLoss,0.0017677680114138612
162,blue_cumsum_KedD,0.0016694443627696585
163,blue_cumsum_revs,0.0016013369749290597
164,red_cumsum_subWin,0.001592750832988469
165,blue_cumsum_subWin,0.0015745203411623937
166,blue_cumsum_subLoss,0.0014201076221196296
167,red_cumsum_subLoss,0.0013878311110710664
168,blue_cumsum_Decloss,0.0013201676964763598
169,blue_cumsum_KOWin,0.0012489769590722623
170,blue_cumsum_decWin,0.0012087205408706635
171,red_titleFights,0.0010055167371596624
172,blue_cumsum_KOLoss,0.0009653852666997949
173,blue_titleFights,0.0009231842633152913
