,name,corner,opponent,event,outcome,method,Round,Time,Significant_strikes,Total_strikes,KDs,TDs,Sub_Atts,Reversals,Control_time,Sig_Str_head,Sig_Str_body,Sig_Str_leg,Sig_Str_distance,Sig_Str_clinch,Sig_Str_ground
0,Rob Font,red,Cody Garbrandt,UFC Fight Night: Font vs. Garbrandt,W,Decision - Unanimous,ROUND: 5,TIME: 5:00,176 of 365,183 of 374,0,2 of 3,0,0,1:13,145 of 326,23 of 29,8 of 10,168 of 356,6 of 6,2 of 3
1,Cody Garbrandt,blue,Rob Font,UFC Fight Night: Font vs. Garbrandt,L,Decision - Unanimous,ROUND: 5,TIME: 5:00,63 of 142,78 of 159,0,3 of 10,0,0,3:02,45 of 120,8 of 11,10 of 11,51 of 126,8 of 11,4 of 5
2,Yan Xiaonan,red,Carla Esparza,UFC Fight Night: Font vs. Garbrandt,L,KO/TKO,ROUND: 2,TIME: 2:58,5 of 11,31 of 41,0,0 of 0,0,0,0:00,4 of 10,1 of 1,0 of 0,2 of 7,0 of 0,3 of 4
3,Carla Esparza,blue,Yan Xiaonan,UFC Fight Night: Font vs. Garbrandt,W,KO/TKO,ROUND: 2,TIME: 2:58,27 of 33,170 of 194,0,3 of 3,0,0,7:18,27 of 33,0 of 0,0 of 0,1 of 2,0 of 0,26 of 31
4,Justin Tafa,red,Jared Vanderaa,UFC Fight Night: Font vs. Garbrandt,L,Decision - Unanimous,ROUND: 3,TIME: 5:00,74 of 147,74 of 147,0,0 of 0,0,0,0:11,35 of 102,32 of 38,7 of 7,70 of 143,4 of 4,0 of 0
5,Jared Vanderaa,blue,Justin Tafa,UFC Fight Night: Font vs. Garbrandt,W,Decision - Unanimous,ROUND: 3,TIME: 5:00,121 of 248,141 of 269,0,0 of 0,0,0,0:24,64 of 181,34 of 43,23 of 24,104 of 226,17 of 22,0 of 0
6,Felicia Spencer,red,Norma Dumont,UFC Fight Night: Font vs. Garbrandt,L,Decision - Split,ROUND: 3,TIME: 5:00,47 of 114,70 of 139,0,0 of 0,0,0,2:58,27 of 76,14 of 27,6 of 11,38 of 102,9 of 12,0 of 0
7,Norma Dumont,blue,Felicia Spencer,UFC Fight Night: Font vs. Garbrandt,W,Decision - Split,ROUND: 3,TIME: 5:00,68 of 135,88 of 155,0,1 of 3,0,0,1:21,40 of 100,14 of 20,14 of 15,59 of 123,9 of 12,0 of 0
8,Ricardo Ramos,red,Bill Algeo,UFC Fight Night: Font vs. Garbrandt,W,Decision - Unanimous,ROUND: 3,TIME: 5:00,53 of 102,57 of 106,0,8 of 13,1,0,3:26,30 of 72,16 of 20,7 of 10,45 of 93,8 of 9,0 of 0
9,Bill Algeo,blue,Ricardo Ramos,UFC Fight Night: Font vs. Garbrandt,L,Decision - Unanimous,ROUND: 3,TIME: 5:00,76 of 170,90 of 187,0,0 of 1,0,1,0:41,35 of 111,25 of 40,16 of 19,71 of 161,4 of 7,1 of 2
10,Jack Hermansson,red,Edmen Shahbazyan,UFC Fight Night: Font vs. Garbrandt,W,Decision - Unanimous,ROUND: 3,TIME: 5:00,55 of 100,141 of 192,0,3 of 6,0,0,7:11,44 of 82,3 of 6,8 of 12,20 of 56,0 of 0,35 of 44
11,Edmen Shahbazyan,blue,Jack Hermansson,UFC Fight Night: Font vs. Garbrandt,L,Decision - Unanimous,ROUND: 3,TIME: 5:00,40 of 92,42 of 94,0,0 of 0,1,1,1:51,34 of 84,6 of 8,0 of 0,30 of 77,3 of 4,7 of 11
12,Ben Rothwell,red,Chris Barnett,UFC Fight Night: Font vs. Garbrandt,W,Submission,ROUND: 2,TIME: 2:07,60 of 101,72 of 120,0,1 of 1,2,0,2:03,47 of 88,10 of 10,3 of 3,54 of 94,6 of 7,0 of 0
13,Chris Barnett,blue,Ben Rothwell,UFC Fight Night: Font vs. Garbrandt,L,Submission,ROUND: 2,TIME: 2:07,33 of 85,34 of 86,0,0 of 1,0,0,0:02,20 of 69,4 of 5,9 of 11,31 of 81,2 of 4,0 of 0
14,Court McGee,red,Claudio Silva,UFC Fight Night: Font vs. Garbrandt,W,Decision - Unanimous,ROUND: 3,TIME: 5:00,37 of 74,110 of 157,0,3 of 5,1,0,8:03,22 of 53,9 of 14,6 of 7,23 of 58,2 of 3,12 of 13
15,Claudio Silva,blue,Court McGee,UFC Fight Night: Font vs. Garbrandt,L,Decision - Unanimous,ROUND: 3,TIME: 5:00,21 of 56,81 of 126,0,1 of 10,0,0,1:48,8 of 36,9 of 15,4 of 5,19 of 52,2 of 4,0 of 0
16,Bruno Silva,red,Victor Rodriguez,UFC Fight Night: Font vs. Garbrandt,W,KO/TKO,ROUND: 1,TIME: 1:00,6 of 12,6 of 12,1,0 of 0,0,0,0:02,4 of 10,1 of 1,1 of 1,3 of 6,1 of 1,2 of 5
17,Victor Rodriguez,blue,Bruno Silva,UFC Fight Night: Font vs. Garbrandt,L,KO/TKO,ROUND: 1,TIME: 1:00,0 of 3,0 of 3,0,0 of 0,0,0,0:00,0 of 3,0 of 0,0 of 0,0 of 3,0 of 0,0 of 0
18,Josh Culibao,red,Shayilan Nuerdanbieke,UFC Fight Night: Font vs. Garbrandt,W,Decision - Unanimous,ROUND: 3,TIME: 5:00,53 of 104,87 of 140,0,0 of 1,1,0,0:04,34 of 82,1 of 1,18 of 21,51 of 101,2 of 3,0 of 0
19,Shayilan Nuerdanbieke,blue,Josh Culibao,UFC Fight Night: Font vs. Garbrandt,L,Decision - Unanimous,ROUND: 3,TIME: 5:00,17 of 63,23 of 71,0,2 of 14,0,0,6:06,13 of 55,3 of 4,1 of 4,12 of 53,5 of 10,0 of 0
20,David Dvorak,red,Juancamilo Ronderos,UFC Fight Night: Font vs. Garbrandt,W,Submission,ROUND: 1,TIME: 2:18,9 of 28,9 of 28,0,0 of 0,1,0,0:23,4 of 19,4 of 8,1 of 1,9 of 28,0 of 0,0 of 0
21,Juancamilo Ronderos,blue,David Dvorak,UFC Fight Night: Font vs. Garbrandt,L,Submission,ROUND: 1,TIME: 2:18,11 of 32,12 of 33,0,0 of 2,0,0,0:00,5 of 25,2 of 2,4 of 5,8 of 27,3 of 5,0 of 0
22,Rafael Alves,red,Damir Ismagulov,UFC Fight Night: Font vs. Garbrandt,L,Decision - Unanimous,ROUND: 3,TIME: 5:00,30 of 63,36 of 69,1,0 of 1,1,0,0:16,20 of 50,6 of 7,4 of 6,28 of 59,2 of 2,0 of 2
23,Damir Ismagulov,blue,Rafael Alves,UFC Fight Night: Font vs. Garbrandt,W,Decision - Unanimous,ROUND: 3,TIME: 5:00,56 of 126,141 of 220,0,2 of 3,0,0,7:40,30 of 91,16 of 24,10 of 11,37 of 104,0 of 0,19 of 22
24,Charles Oliveira,red,Michael Chandler,UFC 262: Oliveira vs. Chandler,W,KO/TKO,ROUND: 2,TIME: 0:19,24 of 32,32 of 41,2,1 of 2,0,0,1:42,20 of 26,1 of 3,3 of 3,13 of 20,3 of 3,8 of 9
25,Michael Chandler,blue,Charles Oliveira,UFC 262: Oliveira vs. Chandler,L,KO/TKO,ROUND: 2,TIME: 0:19,30 of 55,36 of 61,0,0 of 0,1,1,2:27,22 of 42,6 of 10,2 of 3,13 of 26,0 of 0,17 of 29
26,Tony Ferguson,red,Beneil Dariush,UFC 262: Oliveira vs. Chandler,L,Decision - Unanimous,ROUND: 3,TIME: 5:00,15 of 34,37 of 59,0,0 of 0,1,0,0:05,10 of 29,5 of 5,0 of 0,6 of 23,1 of 1,8 of 10
27,Beneil Dariush,blue,Tony Ferguson,UFC 262: Oliveira vs. Chandler,W,Decision - Unanimous,ROUND: 3,TIME: 5:00,23 of 55,76 of 142,0,3 of 6,1,1,12:15,16 of 48,3 of 3,4 of 4,15 of 44,1 of 1,7 of 10
28,Matt Schnell,red,Rogerio Bontorin,UFC 262: Oliveira vs. Chandler,L,Decision - Unanimous,ROUND: 3,TIME: 5:00,65 of 135,113 of 184,0,0 of 0,0,0,0:00,38 of 104,21 of 25,6 of 6,57 of 125,8 of 10,0 of 0
29,Rogerio Bontorin,blue,Matt Schnell,UFC 262: Oliveira vs. Chandler,W,Decision - Unanimous,ROUND: 3,TIME: 5:00,72 of 124,89 of 143,0,1 of 1,0,0,2:18,57 of 103,4 of 8,11 of 13,57 of 107,3 of 5,12 of 12
30,Katlyn Chookagian,red,Viviane Araujo,UFC 262: Oliveira vs. Chandler,W,Decision - Unanimous,ROUND: 3,TIME: 5:00,127 of 292,135 of 300,0,0 of 0,0,0,0:01,87 of 236,31 of 46,9 of 10,121 of 286,6 of 6,0 of 0
31,Viviane Araujo,blue,Katlyn Chookagian,UFC 262: Oliveira vs. Chandler,L,Decision - Unanimous,ROUND: 3,TIME: 5:00,89 of 196,129 of 238,0,1 of 3,1,0,3:04,60 of 162,24 of 29,5 of 5,85 of 192,4 of 4,0 of 0
32,Shane Burgos,red,Edson Barboza,UFC 262: Oliveira vs. Chandler,L,KO/TKO,ROUND: 3,TIME: 1:16,80 of 180,80 of 180,0,0 of 0,0,0,0:03,41 of 131,24 of 33,15 of 16,80 of 179,0 of 1,0 of 0
33,Edson Barboza,blue,Shane Burgos,UFC 262: Oliveira vs. Chandler,W,KO/TKO,ROUND: 3,TIME: 1:16,98 of 191,98 of 191,1,0 of 0,0,0,0:00,51 of 134,14 of 17,33 of 40,96 of 189,0 of 0,2 of 2
34,Jacare Souza,red,Andre Muniz,UFC 262: Oliveira vs. Chandler,L,Submission,ROUND: 1,TIME: 3:59,11 of 19,15 of 23,0,1 of 2,0,0,0:53,5 of 13,4 of 4,2 of 2,7 of 13,0 of 0,4 of 6
35,Andre Muniz,blue,Jacare Souza,UFC 262: Oliveira vs. Chandler,W,Submission,ROUND: 1,TIME: 3:59,7 of 12,19 of 26,0,2 of 3,1,0,1:10,3 of 8,2 of 2,2 of 2,6 of 11,1 of 1,0 of 0
36,Lando Vannata,red,Mike Grundy,UFC 262: Oliveira vs. Chandler,W,Decision - Split,ROUND: 3,TIME: 5:00,80 of 168,83 of 173,0,1 of 1,0,0,0:23,40 of 118,27 of 36,13 of 14,73 of 161,7 of 7,0 of 0
37,Mike Grundy,blue,Lando Vannata,UFC 262: Oliveira vs. Chandler,L,Decision - Split,ROUND: 3,TIME: 5:00,32 of 63,34 of 65,0,3 of 20,0,0,2:37,19 of 44,13 of 19,0 of 0,28 of 59,4 of 4,0 of 0
38,Jordan Wright,red,Jamie Pickett,UFC 262: Oliveira vs. Chandler,W,KO/TKO,ROUND: 1,TIME: 1:04,26 of 32,33 of 40,1,0 of 0,0,0,0:11,21 of 27,5 of 5,0 of 0,5 of 6,12 of 12,9 of 14
39,Jamie Pickett,blue,Jordan Wright,UFC 262: Oliveira vs. Chandler,L,KO/TKO,ROUND: 1,TIME: 1:04,4 of 5,4 of 5,0,0 of 0,0,0,0:12,2 of 3,1 of 1,1 of 1,4 of 4,0 of 1,0 of 0
40,Andrea Lee,red,Antonina Shevchenko,UFC 262: Oliveira vs. Chandler,W,Submission,ROUND: 2,TIME: 4:52,45 of 62,88 of 108,0,3 of 3,3,0,2:11,32 of 43,11 of 15,2 of 4,19 of 35,6 of 6,20 of 21
41,Antonina Shevchenko,blue,Andrea Lee,UFC 262: Oliveira vs. Chandler,L,Submission,ROUND: 2,TIME: 4:52,23 of 41,36 of 54,0,0 of 0,0,0,3:58,13 of 30,8 of 9,2 of 2,15 of 32,8 of 9,0 of 0
42,Gina Mazany,red,Priscila Cachoeira,UFC 262: Oliveira vs. Chandler,L,KO/TKO,ROUND: 2,TIME: 4:51,33 of 48,77 of 99,0,4 of 9,0,0,6:44,21 of 34,10 of 11,2 of 3,19 of 32,5 of 7,9 of 9
43,Priscila Cachoeira,blue,Gina Mazany,UFC 262: Oliveira vs. Chandler,W,KO/TKO,ROUND: 2,TIME: 4:51,36 of 57,47 of 71,0,0 of 0,0,0,0:17,31 of 52,5 of 5,0 of 0,24 of 45,10 of 10,2 of 2
44,Kevin Aguilar,red,Tucker Lutz,UFC 262: Oliveira vs. Chandler,L,Decision - Unanimous,ROUND: 3,TIME: 5:00,81 of 144,132 of 196,0,0 of 2,0,0,0:52,45 of 98,31 of 39,5 of 7,72 of 135,9 of 9,0 of 0
45,Tucker Lutz,blue,Kevin Aguilar,UFC 262: Oliveira vs. Chandler,W,Decision - Unanimous,ROUND: 3,TIME: 5:00,99 of 177,114 of 192,0,3 of 4,0,0,3:05,59 of 131,21 of 26,19 of 20,91 of 167,5 of 6,3 of 4
46,Christos Giagos,red,Sean Soriano,UFC 262: Oliveira vs. Chandler,W,Submission,ROUND: 2,TIME: 0:59,22 of 54,23 of 55,0,3 of 5,1,0,0:59,15 of 43,5 of 9,2 of 2,19 of 50,2 of 3,1 of 1
47,Sean Soriano,blue,Christos Giagos,UFC 262: Oliveira vs. Chandler,L,Submission,ROUND: 2,TIME: 0:59,33 of 53,37 of 57,0,0 of 0,0,0,0:00,16 of 35,8 of 9,9 of 9,30 of 50,3 of 3,0 of 0
48,Marina Rodriguez,red,Michelle Waterson,UFC Fight Night: Rodriguez vs. Waterson,W,Decision - Unanimous,ROUND: 5,TIME: 5:00,125 of 282,144 of 304,0,0 of 0,0,0,0:51,60 of 188,28 of 41,37 of 53,106 of 256,19 of 26,0 of 0
49,Michelle Waterson,blue,Marina Rodriguez,UFC Fight Night: Rodriguez vs. Waterson,L,Decision - Unanimous,ROUND: 5,TIME: 5:00,88 of 205,100 of 222,0,1 of 5,0,0,3:54,43 of 129,25 of 38,20 of 38,74 of 182,7 of 12,7 of 11
50,Donald Cerrone,red,Alex Morono,UFC Fight Night: Rodriguez vs. Waterson,L,KO/TKO,ROUND: 1,TIME: 4:40,17 of 35,18 of 36,0,0 of 2,0,0,0:02,5 of 23,10 of 10,2 of 2,16 of 34,1 of 1,0 of 0
51,Alex Morono,blue,Donald Cerrone,UFC Fight Night: Rodriguez vs. Waterson,W,KO/TKO,ROUND: 1,TIME: 4:40,35 of 84,41 of 90,0,0 of 2,0,0,0:47,28 of 74,5 of 7,2 of 3,30 of 73,5 of 11,0 of 0
52,Neil Magny,red,Geoff Neal,UFC Fight Night: Rodriguez vs. Waterson,W,Decision - Unanimous,ROUND: 3,TIME: 5:00,55 of 174,89 of 214,0,2 of 10,0,0,1:43,34 of 144,18 of 26,3 of 4,45 of 161,7 of 10,3 of 3
53,Geoff Neal,blue,Neil Magny,UFC Fight Night: Rodriguez vs. Waterson,L,Decision - Unanimous,ROUND: 3,TIME: 5:00,35 of 73,37 of 76,0,1 of 2,0,0,3:50,30 of 67,5 of 6,0 of 0,30 of 62,4 of 9,1 of 2
54,Maurice Greene,red,Marcos Rogerio de Lima,UFC Fight Night: Rodriguez vs. Waterson,L,Decision - Unanimous,ROUND: 3,TIME: 5:00,5 of 8,60 of 72,0,0 of 0,0,0,0:00,3 of 6,1 of 1,1 of 1,5 of 8,0 of 0,0 of 0
55,Marcos Rogerio de Lima,blue,Maurice Greene,UFC Fight Night: Rodriguez vs. Waterson,W,Decision - Unanimous,ROUND: 3,TIME: 5:00,14 of 26,166 of 228,0,3 of 4,0,0,14:06,11 of 23,2 of 2,1 of 1,3 of 10,1 of 1,10 of 15
56,Diego Ferreira,red,Gregor Gillespie,UFC Fight Night: Rodriguez vs. Waterson,L,KO/TKO,ROUND: 2,TIME: 4:51,31 of 60,37 of 70,0,0 of 2,0,2,1:06,31 of 60,0 of 0,0 of 0,10 of 39,3 of 3,18 of 18
57,Gregor Gillespie,blue,Diego Ferreira,UFC Fight Night: Rodriguez vs. Waterson,W,KO/TKO,ROUND: 2,TIME: 4:51,45 of 62,53 of 70,0,4 of 8,0,0,5:10,37 of 52,7 of 9,1 of 1,9 of 17,6 of 8,30 of 37
58,Phil Hawes,red,Kyle Daukaus,UFC Fight Night: Rodriguez vs. Waterson,W,Decision - Unanimous,ROUND: 3,TIME: 5:00,66 of 101,157 of 210,0,2 of 4,1,0,5:34,42 of 75,23 of 25,1 of 1,33 of 57,18 of 19,15 of 25
59,Kyle Daukaus,blue,Phil Hawes,UFC Fight Night: Rodriguez vs. Waterson,L,Decision - Unanimous,ROUND: 3,TIME: 5:00,28 of 82,52 of 113,0,0 of 7,0,1,4:13,20 of 68,6 of 11,2 of 3,26 of 78,2 of 3,0 of 1
60,Ludovit Klein,red,Michael Trizano,UFC Fight Night: Rodriguez vs. Waterson,L,Decision - Unanimous,ROUND: 3,TIME: 5:00,45 of 86,50 of 91,0,4 of 7,0,0,3:28,23 of 57,15 of 22,7 of 7,44 of 85,1 of 1,0 of 0
61,Michael Trizano,blue,Ludovit Klein,UFC Fight Night: Rodriguez vs. Waterson,W,Decision - Unanimous,ROUND: 3,TIME: 5:00,56 of 104,91 of 143,0,0 of 0,1,0,0:00,34 of 72,11 of 21,11 of 11,54 of 102,2 of 2,0 of 0
62,Junyong Park,red,Tafon Nchukwi,UFC Fight Night: Rodriguez vs. Waterson,W,Decision - Majority,ROUND: 3,TIME: 5:00,71 of 145,79 of 155,0,2 of 5,2,0,3:49,61 of 134,4 of 5,6 of 6,48 of 117,3 of 3,20 of 25
63,Tafon Nchukwi,blue,Junyong Park,UFC Fight Night: Rodriguez vs. Waterson,L,Decision - Majority,ROUND: 3,TIME: 5:00,58 of 136,64 of 144,0,1 of 2,0,0,0:34,20 of 83,25 of 33,13 of 20,51 of 127,7 of 9,0 of 0
64,Christian Aguilera,red,Carlston Harris,UFC Fight Night: Rodriguez vs. Waterson,L,Submission,ROUND: 1,TIME: 2:52,1 of 10,5 of 15,0,0 of 1,0,0,0:32,1 of 9,0 of 0,0 of 1,1 of 10,0 of 0,0 of 0
65,Carlston Harris,blue,Christian Aguilera,UFC Fight Night: Rodriguez vs. Waterson,W,Submission,ROUND: 1,TIME: 2:52,5 of 13,6 of 16,0,0 of 3,1,0,0:52,3 of 9,1 of 3,1 of 1,5 of 13,0 of 0,0 of 0
66,Dominick Reyes,red,Jiri Prochazka,UFC Fight Night: Reyes vs. Prochazka,L,KO/TKO,ROUND: 2,TIME: 4:29,63 of 108,68 of 114,0,1 of 1,1,0,0:29,39 of 81,21 of 24,3 of 3,57 of 100,1 of 1,5 of 7
67,Jiri Prochazka,blue,Dominick Reyes,UFC Fight Night: Reyes vs. Prochazka,W,KO/TKO,ROUND: 2,TIME: 4:29,77 of 136,78 of 137,1,1 of 1,0,0,1:35,61 of 119,16 of 17,0 of 0,70 of 122,1 of 2,6 of 12
68,Giga Chikadze,red,Cub Swanson,UFC Fight Night: Reyes vs. Prochazka,W,KO/TKO,ROUND: 1,TIME: 1:03,12 of 18,12 of 18,1,0 of 0,0,0,0:05,9 of 14,2 of 3,1 of 1,7 of 11,0 of 0,5 of 7
69,Cub Swanson,blue,Giga Chikadze,UFC Fight Night: Reyes vs. Prochazka,L,KO/TKO,ROUND: 1,TIME: 1:03,4 of 6,4 of 6,0,0 of 0,0,0,0:00,1 of 1,0 of 0,3 of 5,4 of 6,0 of 0,0 of 0
70,Ion Cutelaba,red,Dustin Jacoby,UFC Fight Night: Reyes vs. Prochazka,D,Decision - Split,ROUND: 3,TIME: 5:00,71 of 152,111 of 201,0,9 of 19,0,0,4:27,62 of 139,5 of 9,4 of 4,44 of 123,8 of 8,19 of 21
71,Dustin Jacoby,blue,Ion Cutelaba,UFC Fight Night: Reyes vs. Prochazka,D,Decision - Split,ROUND: 3,TIME: 5:00,84 of 148,100 of 164,0,1 of 3,0,0,1:32,67 of 130,8 of 9,9 of 9,80 of 142,3 of 5,1 of 1
72,Sean Strickland,red,Krzysztof Jotko,UFC Fight Night: Reyes vs. Prochazka,W,Decision - Unanimous,ROUND: 3,TIME: 5:00,84 of 182,84 of 182,0,0 of 0,0,0,0:00,46 of 130,24 of 32,14 of 20,84 of 182,0 of 0,0 of 0
73,Krzysztof Jotko,blue,Sean Strickland,UFC Fight Night: Reyes vs. Prochazka,L,Decision - Unanimous,ROUND: 3,TIME: 5:00,37 of 196,37 of 196,0,0 of 1,0,0,0:00,17 of 163,14 of 27,6 of 6,37 of 196,0 of 0,0 of 0
74,Merab Dvalishvili,red,Cody Stamann,UFC Fight Night: Reyes vs. Prochazka,W,Decision - Unanimous,ROUND: 3,TIME: 5:00,71 of 192,178 of 306,0,5 of 11,1,0,1:42,49 of 158,16 of 25,6 of 9,64 of 183,4 of 6,3 of 3
75,Cody Stamann,blue,Merab Dvalishvili,UFC Fight Night: Reyes vs. Prochazka,L,Decision - Unanimous,ROUND: 3,TIME: 5:00,48 of 134,73 of 163,0,1 of 4,0,1,2:57,27 of 102,20 of 30,1 of 2,41 of 126,6 of 7,1 of 1
76,Randa Markos,red,Luana Pinheiro,UFC Fight Night: Reyes vs. Prochazka,L,DQ,ROUND: 1,TIME: 4:16,18 of 40,28 of 51,0,0 of 0,0,0,0:29,12 of 32,6 of 7,0 of 1,12 of 34,5 of 5,1 of 1
77,Luana Pinheiro,blue,Randa Markos,UFC Fight Night: Reyes vs. Prochazka,W,DQ,ROUND: 1,TIME: 4:16,29 of 53,35 of 61,0,5 of 6,0,0,0:54,22 of 44,4 of 5,3 of 4,20 of 38,7 of 7,2 of 8
78,Kai Kamaka,red,TJ Brown,UFC Fight Night: Reyes vs. Prochazka,L,Decision - Split,ROUND: 3,TIME: 5:00,61 of 128,85 of 155,1,1 of 1,0,0,5:38,38 of 100,14 of 17,9 of 11,51 of 115,1 of 1,9 of 12
79,TJ Brown,blue,Kai Kamaka,UFC Fight Night: Reyes vs. Prochazka,W,Decision - Split,ROUND: 3,TIME: 5:00,82 of 211,110 of 243,0,2 of 4,1,0,0:36,54 of 174,19 of 26,9 of 11,77 of 204,3 of 5,2 of 2
80,Poliana Botelho,red,Luana Carolina,UFC Fight Night: Reyes vs. Prochazka,L,Decision - Split,ROUND: 3,TIME: 5:00,34 of 57,87 of 112,0,1 of 4,0,0,4:39,12 of 27,14 of 22,8 of 8,22 of 44,6 of 7,6 of 6
81,Luana Carolina,blue,Poliana Botelho,UFC Fight Night: Reyes vs. Prochazka,W,Decision - Split,ROUND: 3,TIME: 5:00,25 of 46,100 of 130,0,0 of 0,0,0,5:28,6 of 22,13 of 17,6 of 7,13 of 31,11 of 13,1 of 2
82,Loma Lookboonmee,red,Sam Hughes,UFC Fight Night: Reyes vs. Prochazka,W,Decision - Unanimous,ROUND: 3,TIME: 5:00,84 of 124,108 of 149,0,4 of 8,0,0,1:30,23 of 53,53 of 62,8 of 9,34 of 72,43 of 45,7 of 7
83,Sam Hughes,blue,Loma Lookboonmee,UFC Fight Night: Reyes vs. Prochazka,L,Decision - Unanimous,ROUND: 3,TIME: 5:00,49 of 73,98 of 126,0,0 of 2,0,0,6:34,32 of 47,15 of 17,2 of 9,30 of 52,17 of 19,2 of 2
84,Andreas Michailidis,red,KB Bhullar,UFC Fight Night: Reyes vs. Prochazka,W,Decision - Unanimous,ROUND: 3,TIME: 5:00,73 of 137,75 of 139,0,1 of 1,0,0,1:59,46 of 107,19 of 22,8 of 8,66 of 129,4 of 4,3 of 4
85,KB Bhullar,blue,Andreas Michailidis,UFC Fight Night: Reyes vs. Prochazka,L,Decision - Unanimous,ROUND: 3,TIME: 5:00,70 of 131,71 of 132,0,0 of 0,0,0,0:12,5 of 44,12 of 19,53 of 68,69 of 130,1 of 1,0 of 0
86,Luke Sanders,red,Felipe Colares,UFC Fight Night: Reyes vs. Prochazka,L,Decision - Unanimous,ROUND: 3,TIME: 5:00,118 of 211,131 of 225,1,2 of 5,0,0,2:55,93 of 182,16 of 20,9 of 9,97 of 187,12 of 14,9 of 10
87,Felipe Colares,blue,Luke Sanders,UFC Fight Night: Reyes vs. Prochazka,W,Decision - Unanimous,ROUND: 3,TIME: 5:00,78 of 131,104 of 165,0,2 of 10,0,0,2:54,51 of 101,26 of 29,1 of 1,70 of 119,3 of 3,5 of 9
88,Kamaru Usman,red,Jorge Masvidal,UFC 261: Usman vs. Masvidal 2,W,KO/TKO,ROUND: 2,TIME: 1:02,21 of 40,32 of 54,1,2 of 2,0,0,1:42,15 of 32,5 of 7,1 of 1,12 of 30,0 of 0,9 of 10
89,Jorge Masvidal,blue,Kamaru Usman,UFC 261: Usman vs. Masvidal 2,L,KO/TKO,ROUND: 2,TIME: 1:02,31 of 52,56 of 79,0,0 of 0,0,0,0:00,13 of 33,3 of 4,15 of 15,27 of 47,0 of 0,4 of 5
90,Zhang Weili,red,Rose Namajunas,UFC 261: Usman vs. Masvidal 2,L,KO/TKO,ROUND: 1,TIME: 1:18,7 of 11,7 of 11,0,0 of 0,0,0,0:00,1 of 4,0 of 1,6 of 6,7 of 11,0 of 0,0 of 0
91,Rose Namajunas,blue,Zhang Weili,UFC 261: Usman vs. Masvidal 2,W,KO/TKO,ROUND: 1,TIME: 1:18,5 of 10,5 of 10,1,0 of 0,0,0,0:03,5 of 10,0 of 0,0 of 0,2 of 7,0 of 0,3 of 3
92,Valentina Shevchenko,red,Jessica Andrade,UFC 261: Usman vs. Masvidal 2,W,KO/TKO,ROUND: 2,TIME: 3:19,32 of 39,90 of 97,0,7 of 7,1,0,5:11,27 of 34,3 of 3,2 of 2,9 of 15,5 of 6,18 of 18
93,Jessica Andrade,blue,Valentina Shevchenko,UFC 261: Usman vs. Masvidal 2,L,KO/TKO,ROUND: 2,TIME: 3:19,10 of 15,47 of 55,0,0 of 2,0,0,0:57,2 of 6,8 of 8,0 of 1,4 of 9,6 of 6,0 of 0
94,Uriah Hall,red,Chris Weidman,UFC 261: Usman vs. Masvidal 2,W,KO/TKO,ROUND: 1,TIME: 0:17,0 of 0,0 of 0,0,0 of 0,0,0,0:00,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
95,Chris Weidman,blue,Uriah Hall,UFC 261: Usman vs. Masvidal 2,L,KO/TKO,ROUND: 1,TIME: 0:17,1 of 2,1 of 2,0,0 of 0,0,0,0:00,0 of 1,0 of 0,1 of 1,1 of 2,0 of 0,0 of 0
96,Anthony Smith,red,Jimmy Crute,UFC 261: Usman vs. Masvidal 2,W,TKO - Doctor's Stoppage,ROUND: 1,TIME: 5:00,26 of 39,27 of 40,0,0 of 0,0,0,0:02,20 of 32,4 of 5,2 of 2,26 of 39,0 of 0,0 of 0
97,Jimmy Crute,blue,Anthony Smith,UFC 261: Usman vs. Masvidal 2,L,TKO - Doctor's Stoppage,ROUND: 1,TIME: 5:00,18 of 35,34 of 57,0,3 of 3,0,0,0:57,7 of 21,2 of 5,9 of 9,17 of 33,0 of 0,1 of 2
98,Alex Oliveira,red,Randy Brown,UFC 261: Usman vs. Masvidal 2,L,Submission,ROUND: 1,TIME: 2:50,7 of 12,9 of 14,0,0 of 0,0,0,0:00,1 of 6,1 of 1,5 of 5,7 of 12,0 of 0,0 of 0
99,Randy Brown,blue,Alex Oliveira,UFC 261: Usman vs. Masvidal 2,W,Submission,ROUND: 1,TIME: 2:50,16 of 32,23 of 39,1,0 of 0,1,0,1:23,10 of 24,1 of 2,5 of 6,8 of 21,0 of 0,8 of 11
100,Dwight Grant,red,Stefan Sekulic,UFC 261: Usman vs. Masvidal 2,W,Decision - Split,ROUND: 3,TIME: 5:00,49 of 156,52 of 160,0,1 of 1,0,0,0:25,28 of 126,10 of 17,11 of 13,45 of 152,2 of 2,2 of 2
101,Stefan Sekulic,blue,Dwight Grant,UFC 261: Usman vs. Masvidal 2,L,Decision - Split,ROUND: 3,TIME: 5:00,33 of 52,39 of 59,0,3 of 7,1,0,2:04,14 of 31,5 of 7,14 of 14,31 of 50,0 of 0,2 of 2
102,Karl Roberson,red,Brendan Allen,UFC 261: Usman vs. Masvidal 2,L,Submission,ROUND: 1,TIME: 4:55,6 of 14,15 of 24,0,0 of 0,0,0,0:00,5 of 11,0 of 2,1 of 1,6 of 14,0 of 0,0 of 0
