,fight_url
111,http://ufcstats.com/fight-details/178c4926223dca0c
112,http://ufcstats.com/fight-details/3f71ac21472f994c
113,http://ufcstats.com/fight-details/295a0bf12a7373c0
114,http://ufcstats.com/fight-details/00fbeda449926c13
115,http://ufcstats.com/fight-details/4ffbadfb86284af5
116,http://ufcstats.com/fight-details/8a95f0e3f9111f0c
117,http://ufcstats.com/fight-details/37fda56a435a9b24
118,http://ufcstats.com/fight-details/394802bb096b403e
119,http://ufcstats.com/fight-details/2f82e8079ba354f4
120,http://ufcstats.com/fight-details/ec8d93ae99a7799d
121,http://ufcstats.com/fight-details/ffd8e8575a551875
122,http://ufcstats.com/fight-details/26202a4bd36d3fd2
123,http://ufcstats.com/fight-details/c9c79de21823d941
124,http://ufcstats.com/fight-details/d72f9b3ac742a9e3
125,http://ufcstats.com/fight-details/2ef09c8fe29251ac
126,http://ufcstats.com/fight-details/d6b5a6ad27a730ae
127,http://ufcstats.com/fight-details/78dc032441394331
128,http://ufcstats.com/fight-details/3d790112d2e6d851
129,http://ufcstats.com/fight-details/6a5eb525331fa1fc
130,http://ufcstats.com/fight-details/6d8da45352344964
131,http://ufcstats.com/fight-details/34d2632fd26e7078
132,http://ufcstats.com/fight-details/1820fed0fbcf6294
133,http://ufcstats.com/fight-details/00bbcd4a6d647fdf
134,http://ufcstats.com/fight-details/512af32553d9bd70
135,http://ufcstats.com/fight-details/c5dfce1eaa2dc169
136,http://ufcstats.com/fight-details/f5dd0a24a7dba53c
137,http://ufcstats.com/fight-details/6a7347d1da8a2b87
138,http://ufcstats.com/fight-details/eb5d62bda1581c62
139,http://ufcstats.com/fight-details/c3b8d8e7d256c307
140,http://ufcstats.com/fight-details/b5a8323de18f7e95
141,http://ufcstats.com/fight-details/a3cde349c8e018fb
142,http://ufcstats.com/fight-details/f67aa0b16e16a9ea
143,http://ufcstats.com/fight-details/f2c82f027201ba21
144,http://ufcstats.com/fight-details/a850ba762f3c5334
145,http://ufcstats.com/fight-details/0b2c3c4306620d6d
146,http://ufcstats.com/fight-details/a33ecd2c88154890
147,http://ufcstats.com/fight-details/fdfe4e7cb2d0b665
148,http://ufcstats.com/fight-details/25d4376e00b16510
149,http://ufcstats.com/fight-details/627c0a50cff30405
150,http://ufcstats.com/fight-details/8d634c9240f161dd
151,http://ufcstats.com/fight-details/24ff385ca78c80d3
152,http://ufcstats.com/fight-details/ddd63237f1b857a6
153,http://ufcstats.com/fight-details/71b81d8199a0fa19
154,http://ufcstats.com/fight-details/646eeca9447c6965
155,http://ufcstats.com/fight-details/0992795fd0fa06d0
156,http://ufcstats.com/fight-details/ac9a8b73e58f3d71
157,http://ufcstats.com/fight-details/e27c28928ed4390f
158,http://ufcstats.com/fight-details/998296216e7171ed
159,http://ufcstats.com/fight-details/7aebf01b5afc0109
160,http://ufcstats.com/fight-details/444f0a732695dc81
161,http://ufcstats.com/fight-details/1fee9eca658d9808
162,http://ufcstats.com/fight-details/93a1cd50374397c0
163,http://ufcstats.com/fight-details/cd5d9828b278181a
164,http://ufcstats.com/fight-details/3209bcfaf95de90b
165,http://ufcstats.com/fight-details/b1eff235241e719b
166,http://ufcstats.com/fight-details/39d188fa9b95d550
167,http://ufcstats.com/fight-details/0aa335dbc4cb3473
168,http://ufcstats.com/fight-details/8317208cfb030ed3
169,http://ufcstats.com/fight-details/390694c179f05c7f
170,http://ufcstats.com/fight-details/48292a027df02443
171,http://ufcstats.com/fight-details/4b3af85b0df51d09
172,http://ufcstats.com/fight-details/6002c24f0b7f8cc7
173,http://ufcstats.com/fight-details/2220b73ece1730c3
174,http://ufcstats.com/fight-details/41622791b276ad9e
175,http://ufcstats.com/fight-details/2efbcd870f1f7bc7
176,http://ufcstats.com/fight-details/edac9fd482177a64
177,http://ufcstats.com/fight-details/dd7f3f91ea6067d4
178,http://ufcstats.com/fight-details/afc86d1076c4c3a9
179,http://ufcstats.com/fight-details/9e45cc594a5a2506
180,http://ufcstats.com/fight-details/dcfbbebc0aee6ded
181,http://ufcstats.com/fight-details/a043e279434d5c8c
182,http://ufcstats.com/fight-details/68cf99b6551dc3b3
183,http://ufcstats.com/fight-details/b8a0047c927faa75
184,http://ufcstats.com/fight-details/55bf7f19a132e0fc
185,http://ufcstats.com/fight-details/2c13b938e0f8190b
186,http://ufcstats.com/fight-details/4944437e73071671
187,http://ufcstats.com/fight-details/d15a87087b6f1452
188,http://ufcstats.com/fight-details/70aa6b8f863e6861
189,http://ufcstats.com/fight-details/01f262b68a6a2223
190,http://ufcstats.com/fight-details/dc48627a5f2daba9
191,http://ufcstats.com/fight-details/18c67631b76c18e5
192,http://ufcstats.com/fight-details/bb7ce8a6ba7f7cc5
193,http://ufcstats.com/fight-details/03bdbf2d18f3025d
194,http://ufcstats.com/fight-details/a6828a6dfb21d33c
195,http://ufcstats.com/fight-details/e8adfbbe0053c321
196,http://ufcstats.com/fight-details/8a7b0cd5ad9ca4fe
197,http://ufcstats.com/fight-details/d0ebb0551377a1c1
198,http://ufcstats.com/fight-details/7de9867b7cc2b1b1
199,http://ufcstats.com/fight-details/fd92fe0c494d0959
200,http://ufcstats.com/fight-details/15c9cb5f9320c555
201,http://ufcstats.com/fight-details/c06d7bb29bc24d00
202,http://ufcstats.com/fight-details/04a788abbbd1f256
203,http://ufcstats.com/fight-details/f4363f1317b47213
204,http://ufcstats.com/fight-details/5980ab31e4718a83
205,http://ufcstats.com/fight-details/ae5d14a9fc1ad19c
206,http://ufcstats.com/fight-details/873306ad79b62f5e
207,http://ufcstats.com/fight-details/2704d31de2c2f43b
208,http://ufcstats.com/fight-details/d170f6580e1c244f
209,http://ufcstats.com/fight-details/7ad09f889d2cdb6f
210,http://ufcstats.com/fight-details/50ef636148fa6fac
211,http://ufcstats.com/fight-details/e2abba69c3371618
212,http://ufcstats.com/fight-details/c096342c57a6f2c4
213,http://ufcstats.com/fight-details/4a704dae3091adaf
214,http://ufcstats.com/fight-details/3a4e2dffcdd1c838
215,http://ufcstats.com/fight-details/f3ad8ad8d242678e
216,http://ufcstats.com/fight-details/c2ee423d1f0b4f6f
217,http://ufcstats.com/fight-details/6a0341234ecc4e87
218,http://ufcstats.com/fight-details/3eac2d47ac252f4b
219,http://ufcstats.com/fight-details/a7315147a7022a93
220,http://ufcstats.com/fight-details/11a83369d49ad138
221,http://ufcstats.com/fight-details/bc86601cf781a89c
222,http://ufcstats.com/fight-details/b12bc15f384ecc42
223,http://ufcstats.com/fight-details/a4814d682954e8ab
224,http://ufcstats.com/fight-details/82243207b4dfce87
225,http://ufcstats.com/fight-details/8f7328fe18806fb0
226,http://ufcstats.com/fight-details/05ceb8b2f93993a6
227,http://ufcstats.com/fight-details/15b1c7ddc4415fdd
228,http://ufcstats.com/fight-details/931fd51ab69fb443
229,http://ufcstats.com/fight-details/990c2378caec68d4
230,http://ufcstats.com/fight-details/e175c1a0bff30187
231,http://ufcstats.com/fight-details/1d892fec31dc7ad7
232,http://ufcstats.com/fight-details/b9cd4910f0ecff45
233,http://ufcstats.com/fight-details/c3b6aa47e7532a7b
234,http://ufcstats.com/fight-details/be94e5b7a35ce5f2
235,http://ufcstats.com/fight-details/25b8c932da5e91f4
236,http://ufcstats.com/fight-details/26fbf026beb8e9f8
237,http://ufcstats.com/fight-details/54e2490959f66dc2
238,http://ufcstats.com/fight-details/9201312dd860fa5a
239,http://ufcstats.com/fight-details/96b1430379c0694a
240,http://ufcstats.com/fight-details/8cf076524cad5a55
241,http://ufcstats.com/fight-details/17616514e8fdacb9
242,http://ufcstats.com/fight-details/f98e954823bd6e02
243,http://ufcstats.com/fight-details/357c5b86ec83b826
244,http://ufcstats.com/fight-details/8b9bdacca749ec90
245,http://ufcstats.com/fight-details/9ef858837dfc65eb
246,http://ufcstats.com/fight-details/f4fbb11055301e75
247,http://ufcstats.com/fight-details/2c81668d1459991f
248,http://ufcstats.com/fight-details/bbade63ca780668f
249,http://ufcstats.com/fight-details/af8ea6db042674ef
250,http://ufcstats.com/fight-details/464cc19d42446da9
251,http://ufcstats.com/fight-details/8c34e1e0d842618d
252,http://ufcstats.com/fight-details/d65da3a3bc675449
253,http://ufcstats.com/fight-details/86d6e09932c5b551
254,http://ufcstats.com/fight-details/eb4e9ec015533ab4
255,http://ufcstats.com/fight-details/3ac61bcb406e1a0c
256,http://ufcstats.com/fight-details/3d3e7dc7b4bf2bc4
257,http://ufcstats.com/fight-details/a5075f4eaee6036f
258,http://ufcstats.com/fight-details/c4ea3f6fae702459
259,http://ufcstats.com/fight-details/65352221c0bfe52d
260,http://ufcstats.com/fight-details/cd08b68f0bafafbf
261,http://ufcstats.com/fight-details/99dbe9669f31ed91
262,http://ufcstats.com/fight-details/92f569a6d9374b86
263,http://ufcstats.com/fight-details/83da743f6dda7dcc
264,http://ufcstats.com/fight-details/c597fd8bb66d54d8
265,http://ufcstats.com/fight-details/f3ccbfd7036f3cf3
266,http://ufcstats.com/fight-details/aaf45b095452be23
267,http://ufcstats.com/fight-details/61bedad39b15db7a
268,http://ufcstats.com/fight-details/dd34dd337e637767
269,http://ufcstats.com/fight-details/4f6d3cdf2c77fb57
270,http://ufcstats.com/fight-details/a003e8305d4dbdc8
271,http://ufcstats.com/fight-details/57e784028ef2c17d
272,http://ufcstats.com/fight-details/d27ac1bc677b89cf
273,http://ufcstats.com/fight-details/ac475de5a3d0d7e2
274,http://ufcstats.com/fight-details/4abcf14faa7f92f2
275,http://ufcstats.com/fight-details/ddbe6fd66d7f9e35
276,http://ufcstats.com/fight-details/76b61ff4c9760f79
277,http://ufcstats.com/fight-details/4e451881e0e47b05
278,http://ufcstats.com/fight-details/031e6624f96aceb8
279,http://ufcstats.com/fight-details/11558384f80f6506
280,http://ufcstats.com/fight-details/ae38fb2a6b6a0cc1
281,http://ufcstats.com/fight-details/a4817b7e46028b4a
282,http://ufcstats.com/fight-details/6b0da0b1cda7799f
283,http://ufcstats.com/fight-details/aeb7ff8ce6e1beac
284,http://ufcstats.com/fight-details/775c1f401815bbd8
285,http://ufcstats.com/fight-details/358f816aff469270
286,http://ufcstats.com/fight-details/97ad63e644757cf4
287,http://ufcstats.com/fight-details/0165bd3c26f0c076
288,http://ufcstats.com/fight-details/3fcd53eb27945231
289,http://ufcstats.com/fight-details/97c80f69ac312030
290,http://ufcstats.com/fight-details/3d903bc35023f50a
291,http://ufcstats.com/fight-details/c7375d5db21cbaae
292,http://ufcstats.com/fight-details/014f1da2083ca174
293,http://ufcstats.com/fight-details/3d35eb2d46bf74de
294,http://ufcstats.com/fight-details/8955ea3c7c332e6c
295,http://ufcstats.com/fight-details/cd150cd28738a7c5
296,http://ufcstats.com/fight-details/1c4602efe5587902
297,http://ufcstats.com/fight-details/4cb249714ff56656
298,http://ufcstats.com/fight-details/f004d3d50b78af50
299,http://ufcstats.com/fight-details/f2fb049980631302
300,http://ufcstats.com/fight-details/0fe4906754b2d0f9
301,http://ufcstats.com/fight-details/62e6eadbb2805760
302,http://ufcstats.com/fight-details/8da75fd76a9b8e1d
303,http://ufcstats.com/fight-details/c258996570faeec9
304,http://ufcstats.com/fight-details/b7b867eb3c3cf163
305,http://ufcstats.com/fight-details/27200d53ba9020b8
306,http://ufcstats.com/fight-details/4a172a5191cb8e60
307,http://ufcstats.com/fight-details/fe3ff5b1d9135add
308,http://ufcstats.com/fight-details/022bdd58cc6e571d
309,http://ufcstats.com/fight-details/cb7616f92a9a4e5b
310,http://ufcstats.com/fight-details/87d0b767742d3239
311,http://ufcstats.com/fight-details/5ddf45e816a50fac
312,http://ufcstats.com/fight-details/33d52ac2d70b8415
313,http://ufcstats.com/fight-details/2723f4d275d3f619
314,http://ufcstats.com/fight-details/8d4a475e48722fea
315,http://ufcstats.com/fight-details/46860358da8b8d82
316,http://ufcstats.com/fight-details/4478ee77a647ae9d
317,http://ufcstats.com/fight-details/856fab879c68ded7
318,http://ufcstats.com/fight-details/771d8ce136a12a13
319,http://ufcstats.com/fight-details/b1be8b41b1a4fd85
320,http://ufcstats.com/fight-details/c4d1c4b82cf34afb
321,http://ufcstats.com/fight-details/09a29fb09fe07559
322,http://ufcstats.com/fight-details/28b6ee9c3eb8b753
323,http://ufcstats.com/fight-details/32a7da2f34ae3803
324,http://ufcstats.com/fight-details/181c3312f14de5a8
325,http://ufcstats.com/fight-details/2a7909acde26a240
326,http://ufcstats.com/fight-details/4d56bcd82438e632
327,http://ufcstats.com/fight-details/0c27552ea7bc8c8a
328,http://ufcstats.com/fight-details/711f00d287344c77
329,http://ufcstats.com/fight-details/8868957c1735bcf0
330,http://ufcstats.com/fight-details/e64d80dcc6853ea0
331,http://ufcstats.com/fight-details/3c098e2946b4c824
332,http://ufcstats.com/fight-details/c93eebe24aa0299d
333,http://ufcstats.com/fight-details/2b13651b97f57b6c
334,http://ufcstats.com/fight-details/08ef2ed7393efd24
335,http://ufcstats.com/fight-details/1671723154d8e324
336,http://ufcstats.com/fight-details/8d5ea3bf3be7cb91
337,http://ufcstats.com/fight-details/6c1b38dd918793ff
338,http://ufcstats.com/fight-details/a485281be8e9d2e2
339,http://ufcstats.com/fight-details/e22d5aab3d099c7c
340,http://ufcstats.com/fight-details/a02764f92a84dd36
341,http://ufcstats.com/fight-details/90eb22b9eb6ed2a8
342,http://ufcstats.com/fight-details/91afc389191d41fb
343,http://ufcstats.com/fight-details/80cb3cf9134b677c
344,http://ufcstats.com/fight-details/30eb24f7904c2128
345,http://ufcstats.com/fight-details/34db1e0e2499e7ae
346,http://ufcstats.com/fight-details/fa6e8fa6c3f05e31
347,http://ufcstats.com/fight-details/742dc4196d329db0
348,http://ufcstats.com/fight-details/470391c4067bf49b
349,http://ufcstats.com/fight-details/9e4dcac049327529
350,http://ufcstats.com/fight-details/d80fd2ec736f7df2
351,http://ufcstats.com/fight-details/f6472ca263a863d1
352,http://ufcstats.com/fight-details/923e151bd990961b
353,http://ufcstats.com/fight-details/f0cf92b063735164
354,http://ufcstats.com/fight-details/6ac3d588f9630f0a
355,http://ufcstats.com/fight-details/0fed97329b78b887
356,http://ufcstats.com/fight-details/b76590c02f86e705
357,http://ufcstats.com/fight-details/fea7dd5904ab4c91
358,http://ufcstats.com/fight-details/2267d967d1daf08a
359,http://ufcstats.com/fight-details/69fa167ba5d0fd82
360,http://ufcstats.com/fight-details/55019da3a4bd5d54
361,http://ufcstats.com/fight-details/cb720b01fd6f9785
362,http://ufcstats.com/fight-details/039c645e8f3ac00f
363,http://ufcstats.com/fight-details/83955de599b2d874
364,http://ufcstats.com/fight-details/d763ad79532b27ff
365,http://ufcstats.com/fight-details/997dcf5fd2eb0f2f
366,http://ufcstats.com/fight-details/6915d46b49999f60
367,http://ufcstats.com/fight-details/95beb5ec32718faf
368,http://ufcstats.com/fight-details/4e566bd7094b49da
369,http://ufcstats.com/fight-details/09f5fb0bec3c948a
370,http://ufcstats.com/fight-details/696ff200d98fa878
371,http://ufcstats.com/fight-details/783761d95060ffc4
372,http://ufcstats.com/fight-details/7e6f12a95c14f9de
373,http://ufcstats.com/fight-details/59eea37af7efb06c
374,http://ufcstats.com/fight-details/51108eabae8391ca
375,http://ufcstats.com/fight-details/ccfe7b0d29c5440c
376,http://ufcstats.com/fight-details/a2620cbef573a837
377,http://ufcstats.com/fight-details/e8ef17c0babcfca5
378,http://ufcstats.com/fight-details/eedcb6c5d163e581
379,http://ufcstats.com/fight-details/6eaa4981d0335c8a
380,http://ufcstats.com/fight-details/de2069fea664c4b7
381,http://ufcstats.com/fight-details/5b062be91c65fb73
382,http://ufcstats.com/fight-details/55c257629ecea80f
383,http://ufcstats.com/fight-details/47f9c14a7dca1ad7
384,http://ufcstats.com/fight-details/2279d909f6e3e552
385,http://ufcstats.com/fight-details/5a440bdee19efaab
386,http://ufcstats.com/fight-details/e7a915f39ecf6db0
387,http://ufcstats.com/fight-details/948da1b7ebbb06b3
388,http://ufcstats.com/fight-details/4eb5f99202f5fe97
389,http://ufcstats.com/fight-details/e4d0be5ae320c4ae
390,http://ufcstats.com/fight-details/e5279358b128c2ac
391,http://ufcstats.com/fight-details/9b6135943a4c8fe7
392,http://ufcstats.com/fight-details/50e0bcba7551a25f
393,http://ufcstats.com/fight-details/2735a2ea77ddc0b5
394,http://ufcstats.com/fight-details/b3e12698e65cf8d0
