,hrefs
104,http://ufcstats.com/fighter-details/c487223b0289bda9
105,http://ufcstats.com/fighter-details/d0f3959b4a9747e6
106,http://ufcstats.com/fighter-details/6fd953151d981979
107,http://ufcstats.com/fighter-details/fe5a9547479396ab
108,http://ufcstats.com/fighter-details/7a15f3694c5cbc02
109,http://ufcstats.com/fighter-details/0541480fbf719d86
110,http://ufcstats.com/fighter-details/8fd76e1b49c00ae2
111,http://ufcstats.com/fighter-details/d53482bef23235ba
112,http://ufcstats.com/fighter-details/b757c73f443d4fca
113,http://ufcstats.com/fighter-details/4b37a0bc2ab4cae1
114,http://ufcstats.com/fighter-details/41b34b7f11f6d085
115,http://ufcstats.com/fighter-details/9abc648e76c4493a
116,http://ufcstats.com/fighter-details/669a3cb6e394f515
117,http://ufcstats.com/fighter-details/e17770faae3ca54c
118,http://ufcstats.com/fighter-details/e70de1859b7ee78e
119,http://ufcstats.com/fighter-details/6ebe96a116e79e52
120,http://ufcstats.com/fighter-details/1e13936d708bcff7
121,http://ufcstats.com/fighter-details/040a74bb0a465c54
122,http://ufcstats.com/fighter-details/2f181c0467965b98
123,http://ufcstats.com/fighter-details/c4fe2e9a06ea5bcb
124,http://ufcstats.com/fighter-details/91186547a7f3f758
125,http://ufcstats.com/fighter-details/d615d6a10a4704cd
126,http://ufcstats.com/fighter-details/2b074403b7c6cdb4
127,http://ufcstats.com/fighter-details/67a992d4cff22466
128,http://ufcstats.com/fighter-details/f16ddfa31236efed
129,http://ufcstats.com/fighter-details/41e83a89929d1327
130,http://ufcstats.com/fighter-details/710f0f8c5d5c9d41
131,http://ufcstats.com/fighter-details/c6bf75775b278ed8
132,http://ufcstats.com/fighter-details/49b130de1da2e1bf
133,http://ufcstats.com/fighter-details/e87a13e02c01331d
134,http://ufcstats.com/fighter-details/c61b49cec6abd6b9
135,http://ufcstats.com/fighter-details/dc7927cd622676a7
136,http://ufcstats.com/fighter-details/c11036da9162cb5f
137,http://ufcstats.com/fighter-details/e741536153227386
138,http://ufcstats.com/fighter-details/33a331684283900f
139,http://ufcstats.com/fighter-details/4438482bd1d5a029
140,http://ufcstats.com/fighter-details/58bbef3770bb2dfc
141,http://ufcstats.com/fighter-details/31ee470ef5dc8d7f
142,http://ufcstats.com/fighter-details/bd92cf5da5413d2a
143,http://ufcstats.com/fighter-details/dc5a6b2fdb27e7dc
144,http://ufcstats.com/fighter-details/d317a5e2b3f88c5f
145,http://ufcstats.com/fighter-details/029afd138865d20a
146,http://ufcstats.com/fighter-details/d156513a19acf856
147,http://ufcstats.com/fighter-details/20821819c401ced8
148,http://ufcstats.com/fighter-details/1e327b281ef6a745
149,http://ufcstats.com/fighter-details/247fbbfafea60bb1
150,http://ufcstats.com/fighter-details/ee0b69e307c857e5
151,http://ufcstats.com/fighter-details/c912f676692c353a
152,http://ufcstats.com/fighter-details/d562b12b8fe88336
153,http://ufcstats.com/fighter-details/70fa1c64a2c439ef
154,http://ufcstats.com/fighter-details/87a1dc546b1c5caf
155,http://ufcstats.com/fighter-details/53adf5b845d91e4a
156,http://ufcstats.com/fighter-details/23a8c33869bf5392
157,http://ufcstats.com/fighter-details/cad24459b28592ca
158,http://ufcstats.com/fighter-details/8738eacd62e82a32
159,http://ufcstats.com/fighter-details/9199e0735b83dd32
160,http://ufcstats.com/fighter-details/1ffc38f67785797b
161,http://ufcstats.com/fighter-details/5e4eec08896c9423
162,http://ufcstats.com/fighter-details/19ba965651486013
163,http://ufcstats.com/fighter-details/a0e75f4a13eb73f1
164,http://ufcstats.com/fighter-details/1562b12763cc8d67
165,http://ufcstats.com/fighter-details/6a1901c62ab3870f
166,http://ufcstats.com/fighter-details/d221ee27afc7a60e
167,http://ufcstats.com/fighter-details/9bad58fa651d6196
168,http://ufcstats.com/fighter-details/00debc804e2b1cd4
169,http://ufcstats.com/fighter-details/46e2ca71fd5089cb
170,http://ufcstats.com/fighter-details/e20ad078a7d63361
171,http://ufcstats.com/fighter-details/047a91d3d9c79b05
172,http://ufcstats.com/fighter-details/c7c39e2fb70248b3
173,http://ufcstats.com/fighter-details/e06fd1260ac865a7
174,http://ufcstats.com/fighter-details/d802174b0c0c1f4e
175,http://ufcstats.com/fighter-details/af997f7611673880
176,http://ufcstats.com/fighter-details/25b31165758402dd
177,http://ufcstats.com/fighter-details/dbd198f780286aca
178,http://ufcstats.com/fighter-details/78d48d3874dacafd
179,http://ufcstats.com/fighter-details/4665f9f909cd7214
180,http://ufcstats.com/fighter-details/79ded75550efc139
181,http://ufcstats.com/fighter-details/7d420039bbfe7c1a
182,http://ufcstats.com/fighter-details/0c1a04afca64e38f
183,http://ufcstats.com/fighter-details/1ccff7f0cfdf85eb
184,http://ufcstats.com/fighter-details/269d103c96a4c3a5
185,http://ufcstats.com/fighter-details/73ef22f25d0f70e2
186,http://ufcstats.com/fighter-details/71002dbc1743b9a7
187,http://ufcstats.com/fighter-details/dbea8c1cb327ab3d
188,http://ufcstats.com/fighter-details/36541f1e6c5d4955
189,http://ufcstats.com/fighter-details/1291edf2d566a71a
190,http://ufcstats.com/fighter-details/d25e39e74efb0a77
191,http://ufcstats.com/fighter-details/9c9455912d917e4e
192,http://ufcstats.com/fighter-details/9a7ffa80766caa51
193,http://ufcstats.com/fighter-details/3738e68d2261e60f
194,http://ufcstats.com/fighter-details/30ad2050273d016a
195,http://ufcstats.com/fighter-details/bf0e700106d00e55
196,http://ufcstats.com/fighter-details/05fbfe628658c538
197,http://ufcstats.com/fighter-details/770b9d4813c25902
198,http://ufcstats.com/fighter-details/c136b2a8852da5bd
199,http://ufcstats.com/fighter-details/de62052b2ede65ba
200,http://ufcstats.com/fighter-details/61fb8098ccf81c7f
201,http://ufcstats.com/fighter-details/2dea80c069847321
202,http://ufcstats.com/fighter-details/91e3388e69060e69
203,http://ufcstats.com/fighter-details/49f78022126bf4a4
204,http://ufcstats.com/fighter-details/a373085066dbfb54
205,http://ufcstats.com/fighter-details/d26a0988c9dc9886
206,http://ufcstats.com/fighter-details/2abc414136504554
207,http://ufcstats.com/fighter-details/b1d19449397541dc
208,http://ufcstats.com/fighter-details/9be6020024133293
209,http://ufcstats.com/fighter-details/5c10da56d712ac9c
210,http://ufcstats.com/fighter-details/06827d70c53ff0d9
211,http://ufcstats.com/fighter-details/0b31f87be71ebbb1
212,http://ufcstats.com/fighter-details/6e8f1bcdda94ff45
213,http://ufcstats.com/fighter-details/399afbabc02376b5
214,http://ufcstats.com/fighter-details/ff222167cce02919
215,http://ufcstats.com/fighter-details/d0d7160824278840
216,http://ufcstats.com/fighter-details/2f13e4020cea5b38
217,http://ufcstats.com/fighter-details/fd7acf42bd6e7e95
218,http://ufcstats.com/fighter-details/210935fd21670f6d
219,http://ufcstats.com/fighter-details/55ee431411ccf07a
220,http://ufcstats.com/fighter-details/196ed28337adc630
221,http://ufcstats.com/fighter-details/4d3b08ab127c7585
222,http://ufcstats.com/fighter-details/04643fd03d9159cc
223,http://ufcstats.com/fighter-details/956dcac65e7b34d6
224,http://ufcstats.com/fighter-details/8753e125f4499816
225,http://ufcstats.com/fighter-details/ba5c6eeb8ef45f5c
226,http://ufcstats.com/fighter-details/033d19259f589457
227,http://ufcstats.com/fighter-details/4665cbf36b08193b
228,http://ufcstats.com/fighter-details/86d9dbe1bfcbade7
229,http://ufcstats.com/fighter-details/da603332ad41f165
230,http://ufcstats.com/fighter-details/26387c19f32dda0f
231,http://ufcstats.com/fighter-details/6eaec40f724852f4
232,http://ufcstats.com/fighter-details/46d0a888d87d91ac
233,http://ufcstats.com/fighter-details/ee18ff42063174df
234,http://ufcstats.com/fighter-details/063649e21bc9d6d5
235,http://ufcstats.com/fighter-details/9bcfb40dbcd50568
236,http://ufcstats.com/fighter-details/2af2f2e26c4c0402
237,http://ufcstats.com/fighter-details/39cc64bf0a269db9
238,http://ufcstats.com/fighter-details/fd5b6598a3b70c0a
239,http://ufcstats.com/fighter-details/c0ab242c40decc55
240,http://ufcstats.com/fighter-details/4fcf6e0c4e0e6664
241,http://ufcstats.com/fighter-details/82d4c957649faf9b
242,http://ufcstats.com/fighter-details/3dd92ff9fb0412b3
243,http://ufcstats.com/fighter-details/e4d2564ea0e34e2b
244,http://ufcstats.com/fighter-details/a52bc1e62cf0b7c6
245,http://ufcstats.com/fighter-details/aec185309b4843d0
246,http://ufcstats.com/fighter-details/e4a47b07044ddd72
247,http://ufcstats.com/fighter-details/e2b8186b618b00c4
248,http://ufcstats.com/fighter-details/34dbcd4dbaf21a36
249,http://ufcstats.com/fighter-details/7d5b12de1625984e
250,http://ufcstats.com/fighter-details/898337ef520fe4d3
251,http://ufcstats.com/fighter-details/371efa53bd0cf669
252,http://ufcstats.com/fighter-details/04b39f4e8eb59d7c
253,http://ufcstats.com/fighter-details/4c4b44e3cf5815b3
254,http://ufcstats.com/fighter-details/5c2ce761399dc9c5
255,http://ufcstats.com/fighter-details/2c2caf2f2bab9df5
256,http://ufcstats.com/fighter-details/9a2d3567abc02e34
257,http://ufcstats.com/fighter-details/c50ea21fe9ef478d
258,http://ufcstats.com/fighter-details/9ddfb3369a3b0394
259,http://ufcstats.com/fighter-details/2c99576fefe53c7c
260,http://ufcstats.com/fighter-details/06dced58ca24a6bd
261,http://ufcstats.com/fighter-details/6a740daf1b279661
262,http://ufcstats.com/fighter-details/a331233f597090a5
263,http://ufcstats.com/fighter-details/64a50dad704d1d49
264,http://ufcstats.com/fighter-details/b9f28e7045fdfce7
265,http://ufcstats.com/fighter-details/e8fe9c15d348e778
266,http://ufcstats.com/fighter-details/172c2135e70f87b7
267,http://ufcstats.com/fighter-details/c06a5c95f1169c0b
268,http://ufcstats.com/fighter-details/78a5eea49638685d
269,http://ufcstats.com/fighter-details/e575b6ff678c1aca
270,http://ufcstats.com/fighter-details/ad3f53c454cbbead
271,http://ufcstats.com/fighter-details/7a5e8c94a86f9895
272,http://ufcstats.com/fighter-details/91e69a1c3c87325b
273,http://ufcstats.com/fighter-details/80c0bed43da0e27b
274,http://ufcstats.com/fighter-details/1652f3213655b935
275,http://ufcstats.com/fighter-details/f12f979b657ab876
276,http://ufcstats.com/fighter-details/a220be6d41d6f97d
277,http://ufcstats.com/fighter-details/c32eab6c2119e989
278,http://ufcstats.com/fighter-details/d21113c9ff3788ae
