,red_name,blue_name,red_KDs,red_SubAtts,red_Reversals,blue_KDs,blue_SubAtts,blue_Reversals,red_TotStksLnd,red_TotStksAtt,red_SigStksLnd,red_SigStksAtt,red_TDsLnd,red_TDsAtt,blue_TotStksLnd,blue_TotStksAtt,blue_SigStksLnd,blue_SigStksAtt,blue_TDsLnd,blue_TDsAtt,red_SigStkHeadLnd,red_SigStkHeadAtt,red_SigStkBodyLnd,red_SigStkBodyAtt,red_SigStkLegLnd,red_SigStkLegAtt,blue_SigStkHeadLnd,blue_SigStkHeadAtt,blue_SigStkBodyLnd,blue_SigStkBodyAtt,blue_SigStkLegLnd,blue_SigStkLegAtt,red_SigStkDistLnd,red_SigStkDistAtt,red_SigStkClchLnd,red_SigStkClchAtt,red_SigStkGndLnd,red_SigStkGndAtt,blue_SigStkDistLnd,blue_SigStkDistAtt,blue_SigStkClchLnd,blue_SigStkClchAtt,blue_SigStkGndLnd,blue_SigStkGndAtt,red_SigStkPct,red_TotstkPct,red_TDPct,blue_SigStkPct,blue_TotstkPct,blue_TDPct,red_SigStkHeadPct,red_SigStkBodyPct,red_SigStkLegPct,blue_SigStkHeadPct,blue_SigStkBodyPct,blue_SigStkLegPct,red_SigStkDistPct,red_SigStkClchPct,red_SigStkGndPct,blue_SigStkDistPct,blue_SigStkClchPct,blue_SigStkGndPct,red_CtrlSec,blue_CtrlSec,blue_KedD,blue_SubEsc,blue_reversed,blue_TotStkAbs,blue_TotStkSeen,blue_SigStkAbs,blue_SigStkSeen,blue_TakenDown,blue_TDsSeen,blue_SigHeadStkAbs,blue_SigHeadStkSeen,blue_SigBodyStkAbs,blue_SigBodyStkSeen,blue_SigLegStkAbs,blue_SigLegStkSeen,blue_SigDistStkAbs,blue_SigDistStkSeen,blue_SigClchStkAbs,blue_SigClchStkSeen,blue_SigGndStkAbs,blue_SigGndStkSeen,blue_CtrldSec,blue_FightSec,blue_RndEnd,red_KedD,red_SubEsc,red_reversed,red_TotStkAbs,red_TotStkSeen,red_SigStkAbs,red_SigStkSeen,red_TakenDown,red_TDsSeen,red_SigHeadStkAbs,red_SigHeadStkSeen,red_SigBodyStkAbs,red_SigBodyStkSeen,red_SigLegStkAbs,red_SigLegStkSeen,red_SigDistStkAbs,red_SigDistStkSeen,red_SigClchStkAbs,red_SigClchStkSeen,red_SigGndStkAbs,red_SigGndStkSeen,red_CtrldSec,red_FightSec,red_RndEnd,red_win,blue_win,red_loss,blue_loss,red_KO/TKOWin,red_subWin,red_decWin,blue_KO/TKOWin,blue_subWin,blue_decWin,red_KOLoss,blue_KOLoss,red_SubLoss,blue_SubLoss,red_DecLoss,blue_DecLoss,red_titleFight,blue_titleFight,red_DOB,red_reach,red_stance,red_heightIN,blue_DOB,blue_reach,blue_stance,blue_heightIN,red_age,blue_age,red_winner,blue_winner,red_weightclass,blue_weightclass,red_date,blue_date,red_event,blue_event
10,Erin Blanchfield,Sarah Alpar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999-05-04,66,Orthodox,64,1991-06-01,63,Southpaw,64,22.0,30.0,tbd,tbd,Women's Flyweight,Women's Flyweight,2021-09-18,2021-09-18,UFC Fight Night: Smith vs. Spann,UFC Fight Night: Smith vs. Spann
11,Impa Kasanganay,Carlston Harris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994-01-17,75,Orthodox,71,1987-07-09,76,Orthodox,72,28.0,34.0,tbd,tbd,Men's Welterweight,Men's Welterweight,2021-09-18,2021-09-18,UFC Fight Night: Smith vs. Spann,UFC Fight Night: Smith vs. Spann
12,Gustavo Lopez,Heili Alateng,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1989-06-27,67,Orthodox,65,1991-12-14,66,Orthodox,65,32.0,30.0,tbd,tbd,Men's Bantamweight,Men's Bantamweight,2021-09-18,2021-09-18,UFC Fight Night: Smith vs. Spann,UFC Fight Night: Smith vs. Spann
13,Emily Whitmire,Hannah Goldy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991-05-24,63,Orthodox,65,1992-05-18,61,Orthodox,64,30.0,29.0,tbd,tbd,Women's Flyweight,Women's Flyweight,2021-09-18,2021-09-18,UFC Fight Night: Smith vs. Spann,UFC Fight Night: Smith vs. Spann
14,Derek Brunson,Darren Till,0,1,0,0,0,0,101,145,41,84,3,6,28,53,26,50,0,0,37,76,2,2,2,6,37,76,2,2,2,6,9,36,3,3,29,45,9,36,3,3,29,45,0.4880952380952381,0.696551724137931,0.5,0.52,0.5283018867924528,0.0,0.4868421052631579,1.0,0.3333333333333333,0.4868421052631579,1.0,0.3333333333333333,0.25,1.0,0.6444444444444445,0.25,1.0,0.6444444444444445,443,4,0,1,0,101,145,41,84,3,6,37,76,2,2,2,6,9,36,3,3,29,45,443,733,3,0,0,0,28,53,26,50,0,0,37,76,2,2,2,6,9,36,3,3,29,45,4,733,3,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1984-01-04,77,Southpaw,73,1992-12-24,74,Southpaw,72,38.0,29.0,red,red,Men's Middleweight,Men's Middleweight,2021-09-04,2021-09-04,UFC Fight Night: Brunson vs. Till,UFC Fight Night: Brunson vs. Till
15,Tom Aspinall,Serghei Spivac,1,0,0,0,0,0,16,26,16,26,0,0,0,11,0,11,0,2,12,22,4,4,0,0,12,22,4,4,0,0,7,13,3,3,6,10,7,13,3,3,6,10,0.6153846153846154,0.6153846153846154,0.0,0.0,0.0,0.0,0.5454545454545454,1.0,0.0,0.5454545454545454,1.0,0.0,0.5384615384615384,1.0,0.6,0.5384615384615384,1.0,0.6,3,0,1,0,0,16,26,16,26,0,0,12,22,4,4,0,0,7,13,3,3,6,10,3,150,1,0,0,0,0,11,0,11,0,2,12,22,4,4,0,0,7,13,3,3,6,10,0,150,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1993-04-11,78,Orthodox,77,1995-01-24,78,Orthodox,75,28.0,27.0,red,red,Men's Heavyweight,Men's Heavyweight,2021-09-04,2021-09-04,UFC Fight Night: Brunson vs. Till,UFC Fight Night: Brunson vs. Till
16,Alex Morono,David Zawada,0,0,0,0,0,0,96,219,90,213,0,0,91,210,86,205,1,2,81,200,8,12,1,1,81,200,8,12,1,1,84,204,6,9,0,0,84,204,6,9,0,0,0.4225352112676056,0.4383561643835616,0.0,0.4195121951219512,0.43333333333333335,0.5,0.405,0.6666666666666666,1.0,0.405,0.6666666666666666,1.0,0.4117647058823529,0.6666666666666666,0.0,0.4117647058823529,0.6666666666666666,0.0,66,39,0,0,0,96,219,90,213,0,0,81,200,8,12,1,1,84,204,6,9,0,0,66,900,3,0,0,0,91,210,86,205,1,2,81,200,8,12,1,1,84,204,6,9,0,0,39,900,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1990-08-16,72,Orthodox,71,1990-08-01,75,Orthodox,72,31.0,31.0,red,red,Men's Welterweight,Men's Welterweight,2021-09-04,2021-09-04,UFC Fight Night: Brunson vs. Till,UFC Fight Night: Brunson vs. Till
17,Modestas Bukauskas,Khalil Rountree Jr.,0,0,0,1,0,0,23,49,23,49,0,0,38,92,38,92,0,0,18,44,3,3,2,2,18,44,3,3,2,2,22,48,1,1,0,0,22,48,1,1,0,0,0.4693877551020408,0.4693877551020408,0.0,0.4130434782608696,0.4130434782608696,0.0,0.4090909090909091,1.0,1.0,0.4090909090909091,1.0,1.0,0.4583333333333333,1.0,0.0,0.4583333333333333,1.0,0.0,0,0,0,0,0,23,49,23,49,0,0,18,44,3,3,2,2,22,48,1,1,0,0,0,450,2,1,0,0,38,92,38,92,0,0,18,44,3,3,2,2,22,48,1,1,0,0,0,450,2,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1994-02-10,78,Switch,75,1990-02-26,76,Southpaw,73,28.0,32.0,blue,blue,Men's Lightheavyweight,Men's Lightheavyweight,2021-09-04,2021-09-04,UFC Fight Night: Brunson vs. Till,UFC Fight Night: Brunson vs. Till
18,Paddy Pimblett,Luigi Vendramini,1,0,0,0,0,0,47,81,47,81,0,2,30,56,25,51,1,1,29,62,7,8,11,11,29,62,7,8,11,11,46,80,1,1,0,0,46,80,1,1,0,0,0.5802469135802469,0.5802469135802469,0.0,0.4901960784313725,0.5357142857142857,1.0,0.4677419354838709,0.875,1.0,0.4677419354838709,0.875,1.0,0.575,1.0,0.0,0.575,1.0,0.0,9,27,1,0,0,47,81,47,81,0,2,29,62,7,8,11,11,46,80,1,1,0,0,9,265,1,0,0,0,30,56,25,51,1,1,29,62,7,8,11,11,46,80,1,1,0,0,27,265,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1995-01-03,70,Orthodox,70,1996-01-16,73,Orthodox,68,27.0,26.0,red,red,Men's Lightweight,Men's Lightweight,2021-09-04,2021-09-04,UFC Fight Night: Brunson vs. Till,UFC Fight Night: Brunson vs. Till
19,Molly McCann,Ji Yeon Kim,0,0,0,0,0,0,130,275,127,272,2,3,134,374,122,361,0,2,110,249,16,22,1,1,110,249,16,22,1,1,126,270,1,2,0,0,126,270,1,2,0,0,0.4669117647058824,0.4727272727272727,0.6666666666666666,0.3379501385041551,0.3582887700534759,0.0,0.4417670682730924,0.7272727272727273,1.0,0.4417670682730924,0.7272727272727273,1.0,0.4666666666666667,0.5,0.0,0.4666666666666667,0.5,0.0,47,155,0,0,0,130,275,127,272,2,3,110,249,16,22,1,1,126,270,1,2,0,0,47,900,3,0,0,0,134,374,122,361,0,2,110,249,16,22,1,1,126,270,1,2,0,0,155,900,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1990-05-04,62,Orthodox,64,1989-10-18,72,Orthodox,67,31.0,32.0,red,red,Women's Flyweight,Women's Flyweight,2021-09-04,2021-09-04,UFC Fight Night: Brunson vs. Till,UFC Fight Night: Brunson vs. Till
20,Jack Shore,Liudvik Sholinian,0,1,0,0,0,0,104,168,92,155,2,8,33,108,19,92,0,4,59,116,11,14,22,25,59,116,11,14,22,25,80,138,8,12,4,5,80,138,8,12,4,5,0.5935483870967742,0.6190476190476191,0.25,0.2065217391304348,0.3055555555555556,0.0,0.5086206896551724,0.7857142857142857,0.88,0.5086206896551724,0.7857142857142857,0.88,0.5797101449275363,0.6666666666666666,0.8,0.5797101449275363,0.6666666666666666,0.8,268,86,0,1,0,104,168,92,155,2,8,59,116,11,14,22,25,80,138,8,12,4,5,268,900,3,0,0,0,33,108,19,92,0,4,59,116,11,14,22,25,80,138,8,12,4,5,86,900,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1995-02-06,71,Orthodox,68,1990-01-20,70,Orthodox,70,27.0,32.0,red,red,Men's Bantamweight,Men's Bantamweight,2021-09-04,2021-09-04,UFC Fight Night: Brunson vs. Till,UFC Fight Night: Brunson vs. Till
21,Julian Erosa,Charles Jourdain,0,1,0,1,0,0,106,217,103,214,2,5,103,181,85,163,0,0,66,168,29,38,8,8,66,168,29,38,8,8,80,187,22,26,1,1,80,187,22,26,1,1,0.4813084112149533,0.4884792626728111,0.4,0.5214723926380368,0.569060773480663,0.0,0.3928571428571429,0.7631578947368421,1.0,0.3928571428571429,0.7631578947368421,1.0,0.427807486631016,0.8461538461538461,1.0,0.427807486631016,0.8461538461538461,1.0,155,0,0,1,0,106,217,103,214,2,5,66,168,29,38,8,8,80,187,22,26,1,1,155,776,3,1,0,0,103,181,85,163,0,0,66,168,29,38,8,8,80,187,22,26,1,1,0,776,3,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1989-07-31,74,Southpaw,73,1995-11-27,69,Switch,69,32.0,26.0,red,red,Catchweight,Catchweight,2021-09-04,2021-09-04,UFC Fight Night: Brunson vs. Till,UFC Fight Night: Brunson vs. Till
22,Dalcha Lungiambula,Marc-Andre Barriault,0,0,0,0,0,0,87,219,85,217,2,5,128,299,118,289,0,0,60,185,21,26,4,6,60,185,21,26,4,6,64,185,21,32,0,0,64,185,21,32,0,0,0.391705069124424,0.3972602739726027,0.4,0.4083044982698962,0.4280936454849498,0.0,0.32432432432432434,0.8076923076923077,0.6666666666666666,0.32432432432432434,0.8076923076923077,0.6666666666666666,0.345945945945946,0.65625,0.0,0.345945945945946,0.65625,0.0,32,31,0,0,0,87,219,85,217,2,5,60,185,21,26,4,6,64,185,21,32,0,0,32,900,3,0,0,0,128,299,118,289,0,0,60,185,21,26,4,6,64,185,21,32,0,0,31,900,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1987-07-31,76,Orthodox,68,1990-02-18,74,Orthodox,73,34.0,32.0,blue,blue,Men's Middleweight,Men's Middleweight,2021-09-04,2021-09-04,UFC Fight Night: Brunson vs. Till,UFC Fight Night: Brunson vs. Till
23,Edson Barboza,Giga Chikadze,0,0,0,2,2,0,33,95,33,95,0,0,70,128,60,117,0,0,15,70,10,15,8,10,15,70,10,15,8,10,33,95,0,0,0,0,33,95,0,0,0,0,0.3473684210526316,0.3473684210526316,0.0,0.5128205128205128,0.546875,0.0,0.21428571428571427,0.6666666666666666,0.8,0.21428571428571427,0.6666666666666666,0.8,0.3473684210526316,0.0,0.0,0.3473684210526316,0.0,0.0,0,41,0,0,0,33,95,33,95,0,0,15,70,10,15,8,10,33,95,0,0,0,0,0,704,3,2,2,0,70,128,60,117,0,0,15,70,10,15,8,10,33,95,0,0,0,0,41,704,3,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1986-01-21,75,Orthodox,71,1988-08-25,74,Orthodox,72,36.0,33.0,blue,blue,Men's Featherweight,Men's Featherweight,2021-08-28,2021-08-28,UFC Fight Night: Barboza vs. Chikadze,UFC Fight Night: Barboza vs. Chikadze
