,red_name,blue_name,weight_class,event,winner,method,round,red_KDs,red_Sub_Atts,red_Reversals,blue_KDs,blue_Sub_Atts,blue_Reversals,title_bout,red_total_stks_landed,red_total_stks_attempted,red_sig_stks_landed,red_sig_stks_attempted,red_TDs_landed,red_TDs_attempted,blue_total_stks_landed,blue_total_stks_attempted,blue_sig_stks_landed,blue_sig_stks_attempted,blue_TDs_landed,blue_TDs_attempted,red_sig_stks_head_landed,red_sig_stks_head_attempted,red_sig_stks_body_landed,red_sig_stks_body_attempted,red_sig_stks_leg_landed,red_sig_stks_leg_attempted,blue_sig_stks_head_landed,blue_sig_stks_head_attempted,blue_sig_stks_body_landed,blue_sig_stks_body_attempted,blue_sig_stks_leg_landed,blue_sig_stks_leg_attempted,red_sig_stks_distance_landed,red_sig_stks_distance_attempted,red_sig_stks_clinch_landed,red_sig_stks_clinch_attempted,red_sig_stks_ground_landed,red_sig_stks_ground_attempted,blue_sig_stks_distance_landed,blue_sig_stks_distance_attempted,blue_sig_stks_clinch_landed,blue_sig_stks_clinch_attempted,blue_sig_stks_ground_landed,blue_sig_stks_ground_attempted,red_sig_stk_pct,red_total_stk_pct,red_TD_pct,blue_sig_stk_pct,blue_total_stk_pct,blue_TD_pct,red_sig_stk_head_pct,red_sig_stk_body_pct,red_sig_stk_leg_pct,blue_sig_stk_head_pct,blue_sig_stk_body_pct,blue_sig_stk_leg_pct,red_sig_stk_distance_pct,red_sig_stk_clinch_pct,red_sig_stk_ground_pct,blue_sig_stk_distance_pct,blue_sig_stk_clinch_pct,blue_sig_stk_ground_pct,fight_seconds,red_control_seconds,blue_control_seconds,blue_KedD,blue_SubEsc,blue_reversed,blue_TotStkAbs,blue_TotStkSeen,blue_SigStkAbs,blue_SigStkSeen,blue_TakenDown,blue_TDsSeen,blue_SigHeadStkAbs,blue_SigHeadStkSeen,blue_SigBodyStkAbs,blue_SigBodyStkSeen,blue_SigLegStkAbs,blue_SigLegStkSeen,blue_SigDistStkAbs,blue_SigDistStkSeen,blue_SigClchStkAbs,blue_SigClchStkSeen,blue_SigGndStkAbs,blue_SigGndStkSeen,blue_CtrldSec,blue_FightSec,blue_RndEnd,red_KedD,red_SubEsc,red_reversed,red_TotStkAbs,red_TotStkSeen,red_SigStkAbs,red_SigStkSeen,red_TakenDown,red_TDsSeen,red_SigHeadStkAbs,red_SigHeadStkSeen,red_SigBodyStkAbs,red_SigBodyStkSeen,red_SigLegStkAbs,red_SigLegStkSeen,red_SigDistStkAbs,red_SigDistStkSeen,red_SigClchStkAbs,red_SigClchStkSeen,red_SigGndStkAbs,red_SigGndStkSeen,red_CtrldSec,red_FightSec,red_RndEnd
0,Paulo Costa,Marvin Vettori,Men's Middleweight,UFC Fight Night: Costa vs. Vettori,tbd,tbd,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Grant Dawson,Ricky Glenn,Men's Lightweight,UFC Fight Night: Costa vs. Vettori,tbd,tbd,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Jessica-Rose Clark,Joselyne Edwards,Women's Bantamweight,UFC Fight Night: Costa vs. Vettori,tbd,tbd,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Alex Caceres,SeungWoo Choi,Men's Featherweight,UFC Fight Night: Costa vs. Vettori,tbd,tbd,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Francisco Trinaldo,Dwight Grant,Men's Welterweight,UFC Fight Night: Costa vs. Vettori,tbd,tbd,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Nicolae Negumereanu,Ike Villanueva,Men's Lightheavyweight,UFC Fight Night: Costa vs. Vettori,tbd,tbd,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Junyong Park,Gregory Rodrigues,Men's Middleweight,UFC Fight Night: Costa vs. Vettori,tbd,tbd,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Mason Jones,David Onama,Men's Lightweight,UFC Fight Night: Costa vs. Vettori,tbd,tbd,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Tabatha Ricci,Maria Oliveira,Women's Strawweight,UFC Fight Night: Costa vs. Vettori,tbd,tbd,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Jamie Pickett,Laureano Staropoli,Men's Middleweight,UFC Fight Night: Costa vs. Vettori,tbd,tbd,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Khama Worthy,Jai Herbert,Men's Lightweight,UFC Fight Night: Costa vs. Vettori,tbd,tbd,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Jeff Molina,Daniel Da Silva,Men's Flyweight,UFC Fight Night: Costa vs. Vettori,tbd,tbd,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Livinha Souza,Randa Markos,Women's Strawweight,UFC Fight Night: Costa vs. Vettori,tbd,tbd,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Aaron Phillips,Jonathan Martinez,Men's Bantamweight,UFC Fight Night: Costa vs. Vettori,tbd,tbd,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,Aspen Ladd,Norma Dumont,Women's Featherweight,UFC Fight Night: Ladd vs. Dumont,blue,Decision - Unanimous,5,0,0,1,0,0,0,False,86,166,33,110,0,5,113,201,65,149,1,1,28,103,2,3,3,4,48,129,15,18,2,2,17,85,8,12,8,13,51,134,14,15,0,0,0.3,0.5180722891566265,0.0,0.436241610738255,0.5621890547263682,1.0,0.27184466019417475,0.6666666666666666,0.75,0.37209302325581395,0.8333333333333334,1.0,0.2,0.6666666666666666,0.6153846153846154,0.3805970149253731,0.9333333333333333,0.0,1500,452,107,0,0,1,86,166,33,110,0,5,28,103,2,3,3,4,17,85,8,12,8,13,452,1500,5,0,0,0,113,201,65,149,1,1,48,129,15,18,2,2,51,134,14,15,0,0,107,1500,5
1,Andrei Arlovski,Carlos Felipe,Men's Heavyweight,UFC Fight Night: Ladd vs. Dumont,red,Decision - Unanimous,3,0,0,0,0,0,0,False,84,173,83,172,0,0,73,172,73,172,0,0,49,133,11,15,23,24,53,145,15,21,5,6,81,170,2,2,0,0,54,148,12,14,7,10,0.48255813953488375,0.48554913294797686,0.0,0.42441860465116277,0.42441860465116277,0.0,0.3684210526315789,0.7333333333333333,0.9583333333333334,0.36551724137931035,0.7142857142857143,0.8333333333333334,0.4764705882352941,1.0,0.0,0.36486486486486486,0.8571428571428571,0.7,900,0,82,0,0,0,84,173,83,172,0,0,49,133,11,15,23,24,81,170,2,2,0,0,0,900,3,0,0,0,73,172,73,172,0,0,53,145,15,21,5,6,54,148,12,14,7,10,82,900,3
2,Jim Miller,Erick Gonzalez,Men's Lightweight,UFC Fight Night: Ladd vs. Dumont,red,KO/TKO,2,1,0,0,0,0,0,False,43,60,32,48,1,2,22,45,14,37,1,2,25,41,4,4,3,3,10,30,3,5,1,2,18,30,8,10,6,8,11,33,2,2,1,2,0.6666666666666666,0.7166666666666667,0.5,0.3783783783783784,0.4888888888888889,0.5,0.6097560975609756,1.0,1.0,0.3333333333333333,0.6,0.5,0.6,0.8,0.75,0.3333333333333333,1.0,0.5,314,115,62,1,0,0,43,60,32,48,1,2,25,41,4,4,3,3,18,30,8,10,6,8,115,314,2,0,0,0,22,45,14,37,1,2,10,30,3,5,1,2,11,33,2,2,1,2,62,314,2
3,Manon Fiorot,Mayra Bueno Silva,Women's Flyweight,UFC Fight Night: Ladd vs. Dumont,red,Decision - Unanimous,3,0,0,0,0,0,0,False,112,291,91,267,2,6,92,156,48,111,0,0,47,218,37,42,7,7,13,55,21,32,14,24,79,245,4,8,8,14,39,100,7,9,2,2,0.3408239700374532,0.3848797250859107,0.3333333333333333,0.43243243243243246,0.5897435897435898,0.0,0.21559633027522937,0.8809523809523809,1.0,0.23636363636363636,0.65625,0.5833333333333334,0.3224489795918367,0.5,0.5714285714285714,0.39,0.7777777777777778,1.0,900,245,4,0,0,0,112,291,91,267,2,6,47,218,37,42,7,7,79,245,4,8,8,14,245,900,3,0,0,0,92,156,48,111,0,0,13,55,21,32,14,24,39,100,7,9,2,2,4,900,3
4,Nate Landwehr,Ludovit Klein,Men's Featherweight,UFC Fight Night: Ladd vs. Dumont,red,Submission,3,0,2,0,0,0,0,False,103,163,71,130,1,2,44,87,42,85,0,2,41,85,18,30,12,15,20,55,18,25,4,5,45,93,26,37,0,0,39,80,3,5,0,0,0.5461538461538461,0.6319018404907976,0.5,0.49411764705882355,0.5057471264367817,0.0,0.4823529411764706,0.6,0.8,0.36363636363636365,0.72,0.8,0.4838709677419355,0.7027027027027027,0.0,0.4875,0.6,0.0,742,226,32,0,2,0,103,163,71,130,1,2,41,85,18,30,12,15,45,93,26,37,0,0,226,742,3,0,0,0,44,87,42,85,0,2,20,55,18,25,4,5,39,80,3,5,0,0,32,742,3
5,Andrew Sanchez,Bruno Silva,Men's Middleweight,UFC Fight Night: Ladd vs. Dumont,blue,KO/TKO,3,0,0,0,0,0,0,False,86,117,33,53,7,12,100,155,70,123,0,1,26,43,6,9,1,1,47,96,21,24,2,3,26,46,2,2,5,5,55,102,10,12,5,9,0.6226415094339622,0.7350427350427351,0.5833333333333334,0.5691056910569106,0.6451612903225806,0.0,0.6046511627906976,0.6666666666666666,1.0,0.4895833333333333,0.875,0.6666666666666666,0.5652173913043478,1.0,1.0,0.5392156862745098,0.8333333333333334,0.5555555555555556,755,473,15,0,0,0,86,117,33,53,7,12,26,43,6,9,1,1,26,46,2,2,5,5,473,755,3,0,0,0,100,155,70,123,0,1,47,96,21,24,2,3,55,102,10,12,5,9,15,755,3
6,Danny Roberts,Ramazan Emeev,Men's Welterweight,UFC Fight Night: Ladd vs. Dumont,red,Decision - Split,3,0,0,0,0,1,0,False,42,102,34,94,1,3,67,112,40,79,2,7,17,71,16,21,1,2,32,68,8,11,0,0,14,64,20,29,0,1,28,65,11,13,1,1,0.3617021276595745,0.4117647058823529,0.3333333333333333,0.5063291139240507,0.5982142857142857,0.2857142857142857,0.23943661971830985,0.7619047619047619,0.5,0.47058823529411764,0.7272727272727273,0.0,0.21875,0.6896551724137931,0.0,0.4307692307692308,0.8461538461538461,1.0,900,158,177,0,0,0,42,102,34,94,1,3,17,71,16,21,1,2,14,64,20,29,0,1,158,900,3,0,1,0,67,112,40,79,2,7,32,68,8,11,0,0,28,65,11,13,1,1,177,900,3
7,Loopy Godinez,Luana Carolina,Women's Flyweight,UFC Fight Night: Ladd vs. Dumont,blue,Decision - Unanimous,3,0,0,0,0,0,0,False,45,76,23,54,2,15,86,141,53,107,0,0,16,42,4,7,3,5,24,70,18,23,11,14,17,43,2,7,4,4,37,86,16,21,0,0,0.42592592592592593,0.5921052631578947,0.13333333333333333,0.4953271028037383,0.6099290780141844,0.0,0.38095238095238093,0.5714285714285714,0.6,0.34285714285714286,0.782608695652174,0.7857142857142857,0.3953488372093023,0.2857142857142857,1.0,0.43023255813953487,0.7619047619047619,0.0,900,457,52,0,0,0,45,76,23,54,2,15,16,42,4,7,3,5,17,43,2,7,4,4,457,900,3,0,0,0,86,141,53,107,0,0,24,70,18,23,11,14,37,86,16,21,0,0,52,900,3
8,Danaa Batgerel,Brandon Davis,Men's Bantamweight,UFC Fight Night: Ladd vs. Dumont,red,KO/TKO,1,1,0,0,0,0,0,False,22,51,22,51,0,0,7,27,7,27,0,0,20,45,1,3,1,3,4,22,1,3,2,2,20,43,0,2,2,6,7,27,0,0,0,0,0.43137254901960786,0.43137254901960786,0.0,0.25925925925925924,0.25925925925925924,0.0,0.4444444444444444,0.3333333333333333,0.3333333333333333,0.18181818181818182,0.3333333333333333,1.0,0.46511627906976744,0.0,0.3333333333333333,0.25925925925925924,0.0,0.0,121,5,0,1,0,0,22,51,22,51,0,0,20,45,1,3,1,3,20,43,0,2,2,6,5,121,1,0,0,0,7,27,7,27,0,0,4,22,1,3,2,2,7,27,0,0,0,0,0,121,1
9,Istela Nunes,Ariane Carnelossi,Women's Strawweight,UFC Fight Night: Ladd vs. Dumont,blue,Submission,3,0,0,0,0,1,0,False,98,156,62,119,0,0,76,158,36,108,5,7,37,88,16,22,9,9,33,103,2,4,1,1,54,109,8,10,0,0,33,100,3,8,0,0,0.5210084033613446,0.6282051282051282,0.0,0.3333333333333333,0.4810126582278481,0.7142857142857143,0.42045454545454547,0.7272727272727273,1.0,0.32038834951456313,0.5,1.0,0.4954128440366973,0.8,0.0,0.33,0.375,0.0,777,0,424,0,0,0,98,156,62,119,0,0,37,88,16,22,9,9,54,109,8,10,0,0,0,777,3,0,1,0,76,158,36,108,5,7,33,103,2,4,1,1,33,100,3,8,0,0,424,777,3
10,Mackenzie Dern,Marina Rodriguez,Women's Strawweight,UFC Fight Night: Dern vs. Rodriguez,blue,Decision - Unanimous,5,0,1,1,0,1,0,False,80,209,49,174,1,8,148,284,144,279,0,0,41,158,4,10,4,6,72,186,39,58,33,35,36,155,1,3,12,16,124,257,20,22,0,0,0.28160919540229884,0.3827751196172249,0.125,0.5161290322580645,0.5211267605633803,0.0,0.25949367088607594,0.4,0.6666666666666666,0.3870967741935484,0.6724137931034483,0.9428571428571428,0.23225806451612904,0.3333333333333333,0.75,0.48249027237354086,0.9090909090909091,0.0,1500,441,10,0,1,1,80,209,49,174,1,8,41,158,4,10,4,6,36,155,1,3,12,16,441,1500,5,0,1,0,148,284,144,279,0,0,72,186,39,58,33,35,124,257,20,22,0,0,10,1500,5
11,Randy Brown,Jared Gooden,Men's Welterweight,UFC Fight Night: Dern vs. Rodriguez,red,Decision - Unanimous,3,0,0,0,0,0,0,False,117,237,115,235,0,1,87,162,81,156,0,0,81,196,25,29,9,10,19,76,27,36,35,44,109,227,5,7,1,1,78,151,3,3,0,2,0.48936170212765956,0.4936708860759494,0.0,0.5192307692307693,0.5370370370370371,0.0,0.413265306122449,0.8620689655172413,0.9,0.25,0.75,0.7954545454545454,0.4801762114537445,0.7142857142857143,1.0,0.5165562913907285,1.0,0.0,900,6,44,0,0,0,117,237,115,235,0,1,81,196,25,29,9,10,109,227,5,7,1,1,6,900,3,0,0,0,87,162,81,156,0,0,19,76,27,36,35,44,78,151,3,3,0,2,44,900,3
12,Tim Elliott,Matheus Nicolau,Men's Flyweight,UFC Fight Night: Dern vs. Rodriguez,blue,Decision - Unanimous,3,0,0,0,0,0,0,False,105,255,70,215,1,10,128,176,64,109,1,1,39,160,11,28,20,27,28,63,31,38,5,8,62,207,7,7,1,1,64,107,0,1,0,1,0.32558139534883723,0.4117647058823529,0.1,0.5871559633027523,0.7272727272727273,1.0,0.24375,0.39285714285714285,0.7407407407407407,0.4444444444444444,0.8157894736842105,0.625,0.2995169082125604,1.0,1.0,0.5981308411214953,0.0,0.0,900,148,128,0,0,0,105,255,70,215,1,10,39,160,11,28,20,27,62,207,7,7,1,1,148,900,3,0,0,0,128,176,64,109,1,1,28,63,31,38,5,8,64,107,0,1,0,1,128,900,3
13,Sabina Mazo,Mariya Agapova,Women's Flyweight,UFC Fight Night: Dern vs. Rodriguez,blue,Submission,3,0,0,0,1,1,0,False,63,161,62,159,0,0,99,170,93,164,0,0,35,113,13,22,14,24,48,107,32,43,13,14,61,158,1,1,0,0,91,162,2,2,0,0,0.389937106918239,0.391304347826087,0.0,0.5670731707317073,0.5823529411764706,0.0,0.30973451327433627,0.5909090909090909,0.5833333333333334,0.4485981308411215,0.7441860465116279,0.9285714285714286,0.3860759493670886,1.0,0.0,0.5617283950617284,1.0,0.0,653,35,5,0,0,0,63,161,62,159,0,0,35,113,13,22,14,24,61,158,1,1,0,0,35,653,3,1,1,0,99,170,93,164,0,0,48,107,32,43,13,14,91,162,2,2,0,0,5,653,3
14,Chris Gutierrez,Felipe Colares,Men's Bantamweight,UFC Fight Night: Dern vs. Rodriguez,red,Decision - Split,3,0,0,0,0,0,0,False,115,165,96,144,0,3,70,178,41,147,1,7,57,101,14,15,25,28,23,111,15,31,3,5,93,138,2,4,1,2,41,147,0,0,0,0,0.6666666666666666,0.696969696969697,0.0,0.2789115646258503,0.39325842696629215,0.14285714285714285,0.5643564356435643,0.9333333333333333,0.8928571428571429,0.2072072072072072,0.4838709677419355,0.6,0.6739130434782609,0.5,0.5,0.2789115646258503,0.0,0.0,900,90,239,0,0,0,115,165,96,144,0,3,57,101,14,15,25,28,93,138,2,4,1,2,90,900,3,0,0,0,70,178,41,147,1,7,23,111,15,31,3,5,41,147,0,0,0,0,239,900,3
15,Alexandr Romanov,Jared Vanderaa,Men's Heavyweight,UFC Fight Night: Dern vs. Rodriguez,red,KO/TKO,2,0,0,0,0,0,0,False,78,103,56,78,5,7,19,31,13,23,0,0,48,66,6,10,2,2,4,12,2,3,7,8,11,22,0,0,45,56,10,19,3,4,0,0,0.717948717948718,0.7572815533980582,0.7142857142857143,0.5652173913043478,0.6129032258064516,0.0,0.7272727272727273,0.6,1.0,0.3333333333333333,0.6666666666666666,0.875,0.5,0.0,0.8035714285714286,0.5263157894736842,0.75,0.0,583,391,0,0,0,0,78,103,56,78,5,7,48,66,6,10,2,2,11,22,0,0,45,56,391,583,2,0,0,0,19,31,13,23,0,0,4,12,2,3,7,8,10,19,3,4,0,0,0,583,2
16,Charles Rosa,Damon Jackson,Men's Featherweight,UFC Fight Night: Dern vs. Rodriguez,blue,Decision - Unanimous,3,0,0,1,0,2,3,False,116,181,34,87,2,3,53,101,41,87,6,12,17,66,4,8,13,13,33,77,6,8,2,2,26,76,5,8,3,3,20,58,3,3,18,26,0.39080459770114945,0.6408839779005525,0.6666666666666666,0.47126436781609193,0.5247524752475248,0.5,0.25757575757575757,0.5,1.0,0.42857142857142855,0.75,1.0,0.34210526315789475,0.625,1.0,0.3448275862068966,1.0,0.6923076923076923,900,78,624,0,0,1,116,181,34,87,2,3,17,66,4,8,13,13,26,76,5,8,3,3,78,900,3,0,2,3,53,101,41,87,6,12,33,77,6,8,2,2,20,58,3,3,18,26,624,900,3
17,Loopy Godinez,Silvana Gomez Juarez,Women's Strawweight,UFC Fight Night: Dern vs. Rodriguez,red,Submission,1,0,1,0,0,0,0,False,18,20,11,13,5,6,3,13,3,13,0,0,8,10,2,2,1,1,3,13,0,0,0,0,8,10,3,3,0,0,3,13,0,0,0,0,0.8461538461538461,0.9,0.8333333333333334,0.23076923076923078,0.23076923076923078,0.0,0.8,1.0,1.0,0.23076923076923078,0.0,0.0,0.8,1.0,0.0,0.23076923076923078,0.0,0.0,254,207,0,0,1,0,18,20,11,13,5,6,8,10,2,2,1,1,8,10,3,3,0,0,207,254,1,0,0,0,3,13,3,13,0,0,3,13,0,0,0,0,3,13,0,0,0,0,0,254,1
18,Steve Garcia,Charlie Ontiveros,Men's Lightweight,UFC Fight Night: Dern vs. Rodriguez,red,KO/TKO,2,0,0,0,2,0,0,False,70,87,34,49,3,5,15,34,7,23,0,0,30,45,2,2,2,2,7,22,0,1,0,0,6,11,1,1,27,37,4,16,2,2,1,5,0.6938775510204082,0.8045977011494253,0.6,0.30434782608695654,0.4411764705882353,0.0,0.6666666666666666,1.0,1.0,0.3181818181818182,0.0,0.0,0.5454545454545454,1.0,0.7297297297297297,0.25,1.0,0.2,411,355,8,0,0,0,70,87,34,49,3,5,30,45,2,2,2,2,6,11,1,1,27,37,355,411,2,2,0,0,15,34,7,23,0,0,7,22,0,1,0,0,4,16,2,2,1,5,8,411,2
19,Thiago Santos,Johnny Walker,Men's Lightheavyweight,UFC Fight Night: Santos vs. Walker,red,Decision - Unanimous,5,0,0,0,0,0,0,False,44,105,44,105,0,1,48,130,48,130,0,0,9,40,16,28,19,37,7,55,9,20,32,55,42,103,2,2,0,0,46,127,2,3,0,0,0.41904761904761906,0.41904761904761906,0.0,0.36923076923076925,0.36923076923076925,0.0,0.225,0.5714285714285714,0.5135135135135135,0.12727272727272726,0.45,0.5818181818181818,0.4077669902912621,1.0,0.0,0.36220472440944884,0.6666666666666666,0.0,1500,0,0,0,0,0,44,105,44,105,0,1,9,40,16,28,19,37,42,103,2,2,0,0,0,1500,5,0,0,0,48,130,48,130,0,0,7,55,9,20,32,55,46,127,2,3,0,0,0,1500,5
20,Kevin Holland,Kyle Daukaus,Men's Middleweight,UFC Fight Night: Santos vs. Walker,NC,Other,1,0,0,0,0,3,0,False,24,28,3,7,0,0,19,25,9,13,1,5,2,6,0,0,1,1,5,9,3,3,1,1,2,6,1,1,0,0,2,4,4,4,3,5,0.42857142857142855,0.8571428571428571,0.0,0.6923076923076923,0.76,0.2,0.3333333333333333,0.0,1.0,0.5555555555555556,1.0,1.0,0.3333333333333333,1.0,0.0,0.5,1.0,0.6,223,64,130,0,0,0,24,28,3,7,0,0,2,6,0,0,1,1,2,6,1,1,0,0,64,223,1,0,3,0,19,25,9,13,1,5,5,9,3,3,1,1,2,4,4,4,3,5,130,223,1
