,red_name,blue_name,weight_class,event,winner,method,round,red_KDs,red_Sub_Atts,red_Reversals,blue_KDs,blue_Sub_Atts,blue_Reversals,title_bout,red_total_stks_landed,red_total_stks_attempted,red_sig_stks_landed,red_sig_stks_attempted,red_TDs_landed,red_TDs_attempted,blue_total_stks_landed,blue_total_stks_attempted,blue_sig_stks_landed,blue_sig_stks_attempted,blue_TDs_landed,blue_TDs_attempted,red_sig_stks_head_landed,red_sig_stks_head_attempted,red_sig_stks_body_landed,red_sig_stks_body_attempted,red_sig_stks_leg_landed,red_sig_stks_leg_attempted,blue_sig_stks_head_landed,blue_sig_stks_head_attempted,blue_sig_stks_body_landed,blue_sig_stks_body_attempted,blue_sig_stks_leg_landed,blue_sig_stks_leg_attempted,red_sig_stks_distance_landed,red_sig_stks_distance_attempted,red_sig_stks_clinch_landed,red_sig_stks_clinch_attempted,red_sig_stks_ground_landed,red_sig_stks_ground_attempted,blue_sig_stks_distance_landed,blue_sig_stks_distance_attempted,blue_sig_stks_clinch_landed,blue_sig_stks_clinch_attempted,blue_sig_stks_ground_landed,blue_sig_stks_ground_attempted,red_sig_stk_pct,red_total_stk_pct,red_TD_pct,blue_sig_stk_pct,blue_total_stk_pct,blue_TD_pct,red_sig_stk_head_pct,red_sig_stk_body_pct,red_sig_stk_leg_pct,blue_sig_stk_head_pct,blue_sig_stk_body_pct,blue_sig_stk_leg_pct,red_sig_stk_distance_pct,red_sig_stk_clinch_pct,red_sig_stk_ground_pct,blue_sig_stk_distance_pct,blue_sig_stk_clinch_pct,blue_sig_stk_ground_pct,fight_seconds,red_control_seconds,blue_control_seconds,blue_KedD,blue_SubEsc,blue_reversed,blue_TotStkAbs,blue_TotStkSeen,blue_SigStkAbs,blue_SigStkSeen,blue_TakenDown,blue_TDsSeen,blue_SigHeadStkAbs,blue_SigHeadStkSeen,blue_SigBodyStkAbs,blue_SigBodyStkSeen,blue_SigLegStkAbs,blue_SigLegStkSeen,blue_SigDistStkAbs,blue_SigDistStkSeen,blue_SigClchStkAbs,blue_SigClchStkSeen,blue_SigGndStkAbs,blue_SigGndStkSeen,blue_CtrldSec,blue_FightSec,blue_RndEnd,red_KedD,red_SubEsc,red_reversed,red_TotStkAbs,red_TotStkSeen,red_SigStkAbs,red_SigStkSeen,red_TakenDown,red_TDsSeen,red_SigHeadStkAbs,red_SigHeadStkSeen,red_SigBodyStkAbs,red_SigBodyStkSeen,red_SigLegStkAbs,red_SigLegStkSeen,red_SigDistStkAbs,red_SigDistStkSeen,red_SigClchStkAbs,red_SigClchStkSeen,red_SigGndStkAbs,red_SigGndStkSeen,red_CtrldSec,red_FightSec,red_RndEnd
5930,Andrei Arlovski,Vladimir Matyushenko,Men's Heavyweight,UFC 44: Undisputed,red,KO/TKO,1,2,0,0,0,0,0,False,26,39,9,20,0,0,5,17,5,17,0,6,8,19,1,1,0,0,4,15,0,1,1,1,3,10,2,3,4,7,3,11,1,5,1,1,0.45,0.6666666666666666,0.0,0.29411764705882354,0.29411764705882354,0.0,0.42105263157894735,1.0,0.0,0.26666666666666666,0.0,1.0,0.3,0.6666666666666666,0.5714285714285714,0.2727272727272727,0.2,1.0,119,35,3,2,0,0,26,39,9,20,0,0,8,19,1,1,0,0,3,10,2,3,4,7,35,119,1,0,0,0,5,17,5,17,0,6,4,15,0,1,1,1,3,11,1,5,1,1,3,119,1
5931,Tim Sylvia,Gan McGee,Men's Heavyweight,UFC 44: Undisputed,red,KO/TKO,1,1,0,0,0,0,0,True,10,34,10,34,0,0,7,25,7,25,0,0,10,34,0,0,0,0,5,23,1,1,1,1,6,29,0,0,4,5,7,25,0,0,0,0,0.29411764705882354,0.29411764705882354,0.0,0.28,0.28,0.0,0.29411764705882354,0.0,0.0,0.21739130434782608,1.0,1.0,0.20689655172413793,0.0,0.8,0.28,0.0,0.0,114,4,0,1,0,0,10,34,10,34,0,0,10,34,0,0,0,0,6,29,0,0,4,5,4,114,1,0,0,0,7,25,7,25,0,0,5,23,1,1,1,1,7,25,0,0,0,0,0,114,1
5932,Jorge Rivera,David Loiseau,Men's Middleweight,UFC 44: Undisputed,red,Decision - Unanimous,3,1,0,0,0,0,0,False,154,210,80,136,0,0,49,92,35,78,0,3,39,88,24,26,17,22,25,64,3,6,7,8,20,55,57,78,3,3,8,26,27,52,0,0,0.5882352941176471,0.7333333333333333,0.0,0.44871794871794873,0.532608695652174,0.0,0.4431818181818182,0.9230769230769231,0.7727272727272727,0.390625,0.5,0.875,0.36363636363636365,0.7307692307692307,1.0,0.3076923076923077,0.5192307692307693,0.0,900,328,29,1,0,0,154,210,80,136,0,0,39,88,24,26,17,22,20,55,57,78,3,3,328,900,3,0,0,0,49,92,35,78,0,3,25,64,3,6,7,8,8,26,27,52,0,0,29,900,3
5933,Rich Franklin,Edwin DeWees,Men's Lightheavyweight,UFC 44: Undisputed,red,KO/TKO,1,1,0,0,0,1,0,False,44,53,37,46,0,0,13,15,4,6,1,1,21,30,15,15,1,1,1,2,3,4,0,0,3,4,21,24,13,18,0,2,4,4,0,0,0.8043478260869565,0.8301886792452831,0.0,0.6666666666666666,0.8666666666666667,1.0,0.7,1.0,1.0,0.5,0.75,0.0,0.75,0.875,0.7222222222222222,0.0,1.0,0.0,215,119,34,1,0,0,44,53,37,46,0,0,21,30,15,15,1,1,3,4,21,24,13,18,119,215,1,0,1,0,13,15,4,6,1,1,1,2,3,4,0,0,0,2,4,4,0,0,34,215,1
5934,Karo Parisyan,Dave Strasser,Men's Welterweight,UFC 44: Undisputed,red,Submission,1,0,1,0,0,0,0,False,19,28,13,22,3,4,11,20,2,11,0,1,8,17,3,3,2,2,1,9,1,2,0,0,3,7,7,8,3,7,1,6,1,5,0,0,0.5909090909090909,0.6785714285714286,0.75,0.18181818181818182,0.55,0.0,0.47058823529411764,1.0,1.0,0.1111111111111111,0.5,0.0,0.42857142857142855,0.875,0.42857142857142855,0.16666666666666666,0.2,0.0,232,163,14,0,1,0,19,28,13,22,3,4,8,17,3,3,2,2,3,7,7,8,3,7,163,232,1,0,0,0,11,20,2,11,0,1,1,9,1,2,0,0,1,6,1,5,0,0,14,232,1
5935,Josh Thomson,Gerald Strebendt,Men's Lightweight,UFC 44: Undisputed,red,KO/TKO,1,1,0,0,0,3,0,False,19,26,11,18,1,1,0,0,0,0,0,0,10,17,1,1,0,0,0,0,0,0,0,0,1,2,0,0,10,16,0,0,0,0,0,0,0.6111111111111112,0.7307692307692307,1.0,0.0,0.0,0.0,0.5882352941176471,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.625,0.0,0.0,0.0,165,147,0,1,0,0,19,26,11,18,1,1,10,17,1,1,0,0,1,2,0,0,10,16,147,165,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,1
5936,Nick Diaz,Jeremy Jackson,Men's Welterweight,UFC 44: Undisputed,red,Submission,3,0,2,0,0,0,1,False,92,107,17,24,6,13,71,103,9,37,0,0,14,20,3,4,0,0,9,37,0,0,0,0,1,3,0,0,16,21,0,7,1,5,8,25,0.7083333333333334,0.8598130841121495,0.46153846153846156,0.24324324324324326,0.6893203883495146,0.0,0.7,0.75,0.0,0.24324324324324326,0.0,0.0,0.3333333333333333,0.0,0.7619047619047619,0.0,0.2,0.32,724,403,208,0,2,0,92,107,17,24,6,13,14,20,3,4,0,0,1,3,0,0,16,21,403,724,3,0,0,1,71,103,9,37,0,0,9,37,0,0,0,0,0,7,1,5,8,25,208,724,3
5937,Hermes Franca,Caol Uno,Men's Lightweight,UFC 44: Undisputed,red,KO/TKO,2,1,1,0,0,0,0,False,35,44,13,22,2,2,52,71,32,49,1,4,12,21,1,1,0,0,8,23,5,5,19,21,3,6,6,10,4,6,3,4,11,12,18,33,0.5909090909090909,0.7954545454545454,1.0,0.6530612244897959,0.7323943661971831,0.25,0.5714285714285714,1.0,0.0,0.34782608695652173,1.0,0.9047619047619048,0.5,0.6,0.6666666666666666,0.75,0.9166666666666666,0.5454545454545454,466,84,281,1,1,0,35,44,13,22,2,2,12,21,1,1,0,0,3,6,6,10,4,6,84,466,2,0,0,0,52,71,32,49,1,4,8,23,5,5,19,21,3,4,11,12,18,33,281,466,2
5938,Randy Couture,Chuck Liddell,Men's Lightheavyweight,UFC 43: Meltdown,red,KO/TKO,3,0,1,0,0,0,1,True,56,99,46,87,4,5,35,72,22,59,0,1,39,79,3,4,4,4,11,47,0,0,11,12,27,59,11,13,8,15,12,44,10,15,0,0,0.5287356321839081,0.5656565656565656,0.8,0.3728813559322034,0.4861111111111111,0.0,0.4936708860759494,0.75,1.0,0.23404255319148937,0.0,0.9166666666666666,0.4576271186440678,0.8461538461538461,0.5333333333333333,0.2727272727272727,0.6666666666666666,0.0,759,202,124,0,1,0,56,99,46,87,4,5,39,79,3,4,4,4,27,59,11,13,8,15,202,759,3,0,0,1,35,72,22,59,0,1,11,47,0,0,11,12,12,44,10,15,0,0,124,759,3
5939,Kimo Leopoldo,David Abbott,Men's Heavyweight,UFC 43: Meltdown,red,Submission,1,0,1,0,0,0,0,False,1,1,1,1,1,1,3,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,119,112,1,0,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,112,119,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,119,1
