,event,date,location,event_url
16,UFC Fight Night: Blaydes vs. Lewis," February 20, 2021"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/bfe95ec546692b13
17,UFC 258: Usman vs. Burns," February 13, 2021"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/3f7c14c7eca7195d
18,UFC Fight Night: Overeem vs. Volkov," February 06, 2021"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/a1153013cb5f628f
19,UFC 257: Poirier vs. McGregor," January 23, 2021"," Abu Dhabi, Abu Dhabi, United Arab Emirates",http://ufcstats.com/event-details/4304992c2acc187b
20,UFC Fight Night: Chiesa vs. Magny," January 20, 2021"," Abu Dhabi, Abu Dhabi, United Arab Emirates",http://ufcstats.com/event-details/56116537d71a578c
21,UFC Fight Night: Holloway vs. Kattar," January 16, 2021"," Abu Dhabi, Abu Dhabi, United Arab Emirates",http://ufcstats.com/event-details/307064d3e0f036c2
22,UFC Fight Night: Thompson vs. Neal," December 19, 2020"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/e49c2db95e572dc8
23,UFC 256: Figueiredo vs. Moreno," December 12, 2020"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/d0d43cb9b14f231c
24,UFC Fight Night: Hermansson vs. Vettori," December 05, 2020"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/398b440e73d55b8b
25,UFC Fight Night: Smith vs. Clark," November 28, 2020"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/992c82450d96f726
26,UFC 255: Figueiredo vs. Perez," November 21, 2020"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/bbb15f301e4a490a
27,UFC Fight Night: Felder vs. Dos Anjos," November 14, 2020"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/3bc27ec15facbcf3
28,UFC Fight Night: Santos vs. Teixeira," November 07, 2020"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/41dca66f9dadfc86
29,UFC Fight Night: Hall vs. Silva," October 31, 2020"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/ad044be25c94dcfd
30,UFC 254: Khabib vs. Gaethje," October 24, 2020"," Abu Dhabi, Abu Dhabi, United Arab Emirates",http://ufcstats.com/event-details/c3c38c86f5ab9b5c
31,UFC Fight Night: Ortega vs. The Korean Zombie," October 17, 2020"," Abu Dhabi, Abu Dhabi, United Arab Emirates",http://ufcstats.com/event-details/d4f364dd076bb0e2
32,UFC Fight Night: Moraes vs. Sandhagen," October 10, 2020"," Abu Dhabi, Abu Dhabi, United Arab Emirates",http://ufcstats.com/event-details/fd4578cac86d75ca
33,UFC Fight Night: Holm vs. Aldana," October 03, 2020"," Abu Dhabi, Abu Dhabi, United Arab Emirates",http://ufcstats.com/event-details/805ad1801eb26abb
34,UFC 253: Adesanya vs. Costa," September 26, 2020"," Abu Dhabi, Abu Dhabi, United Arab Emirates",http://ufcstats.com/event-details/e69c5ce12f4e762b
35,UFC Fight Night: Covington vs. Woodley," September 19, 2020"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/831b937811804dad
36,UFC Fight Night: Waterson vs. Hill," September 12, 2020"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/9c37681096c6f3a9
37,UFC Fight Night: Overeem vs. Sakai," September 05, 2020"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/542db012217ecb83
38,UFC Fight Night: Smith vs. Rakic," August 29, 2020"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/e29cf523ebd155c5
39,UFC Fight Night: Munhoz vs. Edgar," August 22, 2020"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/af1e5c64b8663aa0
40,UFC 252: Miocic vs. Cormier 3," August 15, 2020"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/bda04c573563cc2e
41,UFC Fight Night: Lewis vs. Oleinik," August 08, 2020"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/7a82635ffa9b59fe
42,UFC Fight Night: Brunson vs. Shahbazyan," August 01, 2020"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/3746e21bb508391a
43,UFC Fight Night: Whittaker vs. Till," July 25, 2020"," Abu Dhabi, Abu Dhabi, United Arab Emirates",http://ufcstats.com/event-details/dde70a112e053a6c
44,UFC Fight Night: Figueiredo vs. Benavidez 2," July 18, 2020"," Abu Dhabi, Abu Dhabi, United Arab Emirates",http://ufcstats.com/event-details/ddbd0d6259ce57cc
45,UFC Fight Night: Kattar vs. Ige," July 15, 2020"," Abu Dhabi, Abu Dhabi, United Arab Emirates",http://ufcstats.com/event-details/18f5669a92e99d92
46,UFC 251: Usman vs. Masvidal," July 11, 2020"," Abu Dhabi, Abu Dhabi, United Arab Emirates",http://ufcstats.com/event-details/dbd198f780286aca
47,UFC Fight Night: Poirier vs. Hooker," June 27, 2020"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/c32eab6c2119e989
48,UFC Fight Night: Blaydes vs. Volkov," June 20, 2020"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/2eab7a6c8b0ed8cc
49,UFC Fight Night: Eye vs. Calvillo," June 13, 2020"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/1e13936d708bcff7
50,UFC 250: Nunes vs. Spencer," June 06, 2020"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/4c12aa7ca246e7a4
51,UFC Fight Night: Woodley vs. Burns," May 30, 2020"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/14b9e0f2679a2205
52,UFC Fight Night: Overeem vs. Harris," May 16, 2020"," Jacksonville, Florida, US",http://ufcstats.com/event-details/dfb965c9824425db
53,UFC Fight Night: Smith vs. Teixeira," May 13, 2020"," Jacksonville, Florida, US",http://ufcstats.com/event-details/5f8e00c27b7e7410
54,UFC 249: Ferguson vs. Gaethje," May 09, 2020"," Jacksonville, Florida, US",http://ufcstats.com/event-details/898337ef520fe4d3
55,UFC Fight Night: Lee vs. Oliveira," March 14, 2020"," Brasilia, Distrito Federal, Brazil",http://ufcstats.com/event-details/53278852bcd91e11
56,UFC 248: Adesanya vs. Romero," March 07, 2020"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/0b5b6876c2a4723f
57,UFC Fight Night: Benavidez vs. Figueiredo," February 29, 2020"," Norfolk, Virginia, US",http://ufcstats.com/event-details/fc9a9559a05f2704
58,UFC Fight Night: Felder vs. Hooker," February 22, 2020"," Auckland, New Zealand",http://ufcstats.com/event-details/33b2f68ef95252e0
59,UFC Fight Night: Anderson vs. Blachowicz," February 15, 2020"," Rio Rancho, New Mexico, US",http://ufcstats.com/event-details/5df17b3620145578
60,UFC 247: Jones vs. Reyes," February 08, 2020"," Houston, Texas, US",http://ufcstats.com/event-details/b26d3e3746fb4024
61,UFC Fight Night: Blaydes vs. Dos Santos," January 25, 2020"," Raleigh, North Carolina, US",http://ufcstats.com/event-details/44aa652b181bcf68
62,UFC 246: McGregor vs. Cowboy," January 18, 2020"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/0c1773639c795466
63,UFC Fight Night: Edgar vs. The Korean Zombie," December 21, 2019"," Busan, South Korea",http://ufcstats.com/event-details/74fefd43f073cd2f
64,UFC 245: Usman vs. Covington," December 14, 2019"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/4565d435005319c0
65,UFC Fight Night: Overeem vs. Rozenstruik," December 07, 2019"," Washington, DC, US",http://ufcstats.com/event-details/b09890ba7ce1d1e2
66,UFC Fight Night: Blachowicz vs. Jacare," November 16, 2019"," Sao Paulo, Sao Paulo, Brazil",http://ufcstats.com/event-details/81ca2c245b19b3c5
